"X"	"Subcellular.location..CC."	"Intramembrane"	"Topological.domain"	"Transmembrane"
"8"	"O95255"	"SUBCELLULAR LOCATION: Basal cell membrane {ECO:0000269|PubMed:35307651}; Multi-pass membrane protein {ECO:0000255}. Note=Localized to the basal membrane of Sertoli cells. {ECO:0000269|PubMed:35307651}.; SUBCELLULAR LOCATION: [Isoform 1]: Basolateral cell membrane {ECO:0000269|PubMed:12901863, ECO:0000269|PubMed:23625951}; Multi-pass membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 2]: Endoplasmic reticulum membrane {ECO:0000269|PubMed:23912081}; Single-pass membrane protein {ECO:0000255}."	NA	"TOPO_DOM 1..31; /note=Extracellular; /evidence=ECO:0000250; TOPO_DOM 53..72; /note=Cytoplasmic; /evidence=ECO:0000250; TOPO_DOM 94..98; /note=Extracellular; /evidence=ECO:0000250; TOPO_DOM 120..131; /note=Cytoplasmic; /evidence=ECO:0000250; TOPO_DOM 150..167; /note=Extracellular; /evidence=ECO:0000250; TOPO_DOM 189..302; /note=Cytoplasmic; /evidence=ECO:0000250; TOPO_DOM 324..349; /note=Extracellular; /evidence=ECO:0000250; TOPO_DOM 371..426; /note=Cytoplasmic; /evidence=ECO:0000250; TOPO_DOM 448..450; /note=Extracellular; /evidence=ECO:0000250; TOPO_DOM 472..533; /note=Cytoplasmic; /evidence=ECO:0000250; TOPO_DOM 555..575; /note=Extracellular; /evidence=ECO:0000250; TOPO_DOM 597..939; /note=Cytoplasmic; /evidence=ECO:0000250; TOPO_DOM 961..997; /note=Extracellular; /evidence=ECO:0000250; TOPO_DOM 1019..1061; /note=Cytoplasmic; /evidence=ECO:0000250; TOPO_DOM 1083; /note=Extracellular; /evidence=ECO:0000250; TOPO_DOM 1105..1175; /note=Cytoplasmic; /evidence=ECO:0000250; TOPO_DOM 1197..1198; /note=Extracellular; /evidence=ECO:0000250; TOPO_DOM 1220..1503; /note=Cytoplasmic; /evidence=ECO:0000250"	"TRANSMEM 32..52; /note=Helical; Name=1; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 73..93; /note=Helical; Name=2; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 99..119; /note=Helical; Name=3; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 132..149; /note=Helical; Name=4; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 168..188; /note=Helical; Name=5; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 303..323; /note=Helical; Name=6; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 350..370; /note=Helical; Name=7; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 427..447; /note=Helical; Name=8; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 451..471; /note=Helical; Name=9; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 534..554; /note=Helical; Name=10; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 576..596; /note=Helical; Name=11; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 940..960; /note=Helical; Name=12; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 998..1018; /note=Helical; Name=13; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 1062..1082; /note=Helical; Name=14; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 1084..1104; /note=Helical; Name=15; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 1176..1196; /note=Helical; Name=16; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 1199..1219; /note=Helical; Name=17; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441"
"12"	"O43184"	"SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted {ECO:0000305}."	NA	"TOPO_DOM 208..708; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 730..909; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 709..729; /note=Helical; /evidence=ECO:0000255"
"13"	"Q9P0K1"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:27066583}; Single-pass type I membrane protein {ECO:0000305}. Cell projection, axon {ECO:0000250|UniProtKB:Q9R1V6}."	NA	"TOPO_DOM 223..736; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 758..906; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 737..757; /note=Helical; /evidence=ECO:0000255"
"14"	"Q9UKQ2"	"SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted."	NA	"TOPO_DOM 199..665; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 687..775; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 666..686; /note=Helical; /evidence=ECO:0000255"
"15"	"Q9BZ11"	"SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein."	NA	"TOPO_DOM 30..701; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 723..813; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 702..722; /note=Helical; /evidence=ECO:0000255"
"32"	"Q15109"	"SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:24081950, ECO:0000269|PubMed:27572515}; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.; SUBCELLULAR LOCATION: [Isoform 10]: Cell membrane {ECO:0000269|PubMed:24260107}; Single-pass type I membrane protein {ECO:0000269|PubMed:24260107}."	NA	"TOPO_DOM 23..342; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 364..404; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 343..363; /note=Helical; /evidence=ECO:0000255"
"59"	"P51693"	"SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [C30]: Cytoplasm. Note=C-terminally processed in the Golgi complex."	NA	"TOPO_DOM 39..580; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 604..650; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 581..603; /note=Helical; /evidence=ECO:0000255"
"82"	"Q86TY3"	"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}."	NA	"TOPO_DOM 28..714; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 736..774; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 715..735; /note=Helical; /evidence=ECO:0000255"
"106"	"Q13873"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:25187962}; Single-pass type I membrane protein."	NA	"TOPO_DOM 27..150; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 172..1038; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 151..171; /note=Helical; /evidence=ECO:0000255"
"108"	"Q9BWV1"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12634428}; Single-pass type I membrane protein {ECO:0000269|PubMed:12634428}. Note=Enriched at sites of cell-cell contact."	NA	"TOPO_DOM 31..855; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 877..1114; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 856..876; /note=Helical; /evidence=ECO:0000255"
