"X"	"Subcellular.location..CC."	"Intramembrane"	"Topological.domain"	"Transmembrane"
"42"	"Q9HDC9"	"SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:18513186}; Single-pass type II membrane protein {ECO:0000269|PubMed:18513186}."	NA	"TOPO_DOM 2..40; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 62..416; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 41..61; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"76"	"P54709"	"SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000250|UniProtKB:Q63377}; Single-pass type II membrane protein {ECO:0000255}. Basolateral cell membrane {ECO:0000250|UniProtKB:Q63377}; Single-pass type II membrane protein {ECO:0000255}. Melanosome {ECO:0000269|PubMed:17081065}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV."	NA	"TOPO_DOM 1..35; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 57..279; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 36..56; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"166"	"Q9UHN6"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:28246172}; Single-pass type II membrane protein {ECO:0000269|PubMed:28246172}."	NA	"TOPO_DOM 1..82; /note=Cytoplasmic; /evidence=ECO:0000305; TOPO_DOM 104..1383; /note=Extracellular; /evidence=ECO:0000305"	"TRANSMEM 83..103; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"381"	"P13164"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:1383329, ECO:0000269|PubMed:19499152, ECO:0000269|PubMed:25105503, ECO:0000269|PubMed:26354436}; Single-pass membrane protein {ECO:0000269|PubMed:19499152}. Lysosome membrane {ECO:0000269|PubMed:26354436}."	"INTRAMEM 37..57; /note=Helical; /evidence=ECO:0000303|PubMed:25105503"	"TOPO_DOM 1..36; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 58..86; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 108..125; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 87..107; /note=Helical; /evidence=ECO:0000255"
"382"	"Q01629"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:33563656}; Single-pass type II membrane protein {ECO:0000305}. Lysosome membrane {ECO:0000269|PubMed:26354436}; Single-pass type II membrane protein {ECO:0000305}. Late endosome membrane {ECO:0000269|PubMed:26354436}; Single-pass type II membrane protein {ECO:0000305}."	"INTRAMEM 57..77; /note=Helical; /evidence=ECO:0000250|UniProtKB:P13164"	"TOPO_DOM 1..56; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 78..106; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 128..132; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 107..127; /note=Helical; /evidence=ECO:0000255"
"603"	"O15162"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12564925, ECO:0000269|PubMed:22052202, ECO:0000269|PubMed:23590222, ECO:0000269|PubMed:24648509, ECO:0000269|PubMed:26745724}; Single-pass type II membrane protein {ECO:0000269|PubMed:26745724}. Cell membrane {ECO:0000269|PubMed:12564925}; Lipid-anchor {ECO:0000305|PubMed:12564925}; Cytoplasmic side. Nucleus {ECO:0000269|PubMed:12564925, ECO:0000269|PubMed:16091359, ECO:0000269|PubMed:24648509}. Cytoplasm {ECO:0000269|PubMed:22052202}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:22052202, ECO:0000269|PubMed:26745724}. Note=Localizes to the perinuclear region in the presence of RELT (PubMed:22052202). Palmitoylation regulates its localization to the cell membrane or the nucleus; trafficking to the cell membrane is dependent upon palmitoylation whereas in the absence of palmitoylation, localizes to the nucleus (PubMed:12564925). {ECO:0000269|PubMed:12564925, ECO:0000269|PubMed:22052202}."	NA	"TOPO_DOM 1..288; /note=Cytoplasmic; /evidence=ECO:0000269|PubMed:26745724; TOPO_DOM 306..318; /note=Extracellular; /evidence=ECO:0000269|PubMed:26745724"	"TRANSMEM 289..305; /note=Helical; /evidence=ECO:0000269|PubMed:23590222"
"727"	"P08195"	"SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:11742812}. Cell membrane {ECO:0000269|PubMed:11311135, ECO:0000269|PubMed:11389679, ECO:0000269|PubMed:11557028, ECO:0000269|PubMed:11564694, ECO:0000269|PubMed:12225859, ECO:0000269|PubMed:15769744, ECO:0000269|PubMed:16496379, ECO:0000269|PubMed:25998567, ECO:0000269|PubMed:3476959, ECO:0000269|PubMed:3480538, ECO:0000269|PubMed:9829974}; Single-pass type II membrane protein {ECO:0000269|PubMed:30867591}. Cell junction {ECO:0000250|UniProtKB:P10852}. Lysosome membrane {ECO:0000269|PubMed:25998567}. Melanosome {ECO:0000269|PubMed:17081065}. Basolateral cell membrane {ECO:0000250|UniProtKB:P10852}. Note=Localized at the plasma membrane when associated with SLC7A5/LAT1 or SLC7A8/LAT2 (PubMed:9751058, PubMed:11311135). Localized to the apical membrane of placental syncytiotrophoblastic cells (PubMed:11742812). Recruited to lysosomes by LAPTM4B (PubMed:25998567). Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:17081065). Located selectively at cell-cell adhesion sites (By similarity). Colocalized with SLC7A8/LAT2 at the basolateral membrane of kidney proximal tubules and small intestine epithelia. Expressed in both luminal and abluminal membranes of brain capillary endothelial cells (By similarity). {ECO:0000250|UniProtKB:P10852, ECO:0000269|PubMed:11311135, ECO:0000269|PubMed:11742812, ECO:0000269|PubMed:17081065, ECO:0000269|PubMed:25998567, ECO:0000269|PubMed:9751058}."	NA	"TOPO_DOM 102..184; /note=Cytoplasmic; /evidence=ECO:0000269|PubMed:30867591; TOPO_DOM 206..630; /note=Extracellular; /evidence=ECO:0000269|PubMed:30867591"	"TRANSMEM 185..205; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000269|PubMed:30867591"
"779"	"Q12846"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q08850}; Single-pass type IV membrane protein {ECO:0000305}. Cell projection, neuron projection {ECO:0000250|UniProtKB:Q08850}. Note=Localizes to neurite tips in neuronal cells. {ECO:0000250|UniProtKB:Q08850}."	NA	"TOPO_DOM 1..275; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 297; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 276..296; /note=Helical; Anchor for type IV membrane protein; /evidence=ECO:0000255"
"999"	"P15144"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:2564851, ECO:0000269|PubMed:9056417}; Single-pass type II membrane protein {ECO:0000305|PubMed:1350662}. Note=Also found as a soluble form. {ECO:0000269|PubMed:7902291}."	NA	"TOPO_DOM 2..8; /note=Cytoplasmic; /evidence=ECO:0000305|PubMed:1350662; TOPO_DOM 33..967; /note=Extracellular; /evidence=ECO:0000269|PubMed:1350662"	"TRANSMEM 9..32; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"1030"	"P07306"	"SUBCELLULAR LOCATION: [Isoform H1a]: Membrane; Single-pass type II membrane protein.; SUBCELLULAR LOCATION: [Isoform H1b]: Secreted {ECO:0000269|PubMed:20886072}."	NA	"TOPO_DOM 1..40; /note=Cytoplasmic; /evidence=ECO:0000305; TOPO_DOM 62..291; /note=Extracellular; /evidence=ECO:0000305"	"TRANSMEM 41..61; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000305"
