"Gene","Gene.synonym","Ensembl","Gene.description","Uniprot","Chromosome","Position","Protein.class","Biological.process","Molecular.function","Disease.involvement","Evidence","HPA.evidence","UniProt.evidence","NeXtProt.evidence","RNA.tissue.specificity","RNA.tissue.distribution","RNA.tissue.specificity.score","RNA.tissue.specific.nTPM","RNA.single.cell.type.specificity","RNA.single.cell.type.distribution","RNA.single.cell.type.specificity.score","RNA.single.cell.type.specific.nTPM","RNA.cancer.specificity","RNA.cancer.distribution","RNA.cancer.specificity.score","RNA.cancer.specific.FPKM","RNA.brain.regional.specificity","RNA.brain.regional.distribution","RNA.brain.regional.specificity.score","RNA.brain.regional.specific.nTPM","RNA.blood.cell.specificity","RNA.blood.cell.distribution","RNA.blood.cell.specificity.score","RNA.blood.cell.specific.nTPM","RNA.blood.lineage.specificity","RNA.blood.lineage.distribution","RNA.blood.lineage.specificity.score","RNA.blood.lineage.specific.nTPM","RNA.cell.line.specificity","RNA.cell.line.distribution","RNA.cell.line.specificity.score","RNA.cell.line.specific.nTPM","RNA.tissue.cell.type.enrichment","RNA.mouse.brain.regional.specificity","RNA.mouse.brain.regional.distribution","RNA.mouse.brain.regional.specificity.score","RNA.mouse.brain.regional.specific.nTPM","RNA.pig.brain.regional.specificity","RNA.pig.brain.regional.distribution","RNA.pig.brain.regional.specificity.score","RNA.pig.brain.regional.specific.nTPM","Antibody","Reliability..IH.","Reliability..Mouse.Brain.","Reliability..IF.","Subcellular.location","Secretome.location","CCD.Protein","CCD.Transcript","Blood.concentration...Conc..blood.IM..pg.L.","Blood.concentration...Conc..blood.MS..pg.L.","Blood.expression.cluster","Tissue.expression.cluster","Cell.line.expression.cluster","Single.cell.expression.cluster","Subcellular.main.location","Subcellular.additional.location","Antibody.RRID","Pathology.prognostics...Breast.cancer","Pathology.prognostics...Cervical.cancer","Pathology.prognostics...Colorectal.cancer","Pathology.prognostics...Endometrial.cancer","Pathology.prognostics...Glioma","Pathology.prognostics...Head.and.neck.cancer","Pathology.prognostics...Liver.cancer","Pathology.prognostics...Lung.cancer","Pathology.prognostics...Melanoma","Pathology.prognostics...Ovarian.cancer","Pathology.prognostics...Pancreatic.cancer","Pathology.prognostics...Prostate.cancer","Pathology.prognostics...Renal.cancer","Pathology.prognostics...Stomach.cancer","Pathology.prognostics...Testis.cancer","Pathology.prognostics...Thyroid.cancer","Pathology.prognostics...Urothelial.cancer"
"ABCB6","EST45597, MTABC3, umat","ENSG00000115657","ATP binding cassette subfamily B member 6 (Langereis blood group)","Q9NP58","2","219209772-219218994","Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters","Transport","Translocase","Disease variant, Dyskeratosis congenita, Microphthalmia","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in all",NA,"","Cell type enhanced","Detected in some",NA,"Astrocytes: 14.2;Excitatory neurons: 12.7;Gastric mucus-secreting cells: 4.8;Inhibitory neurons: 10.6;Oligodendrocyte precursor cells: 13.0;Oligodendrocytes: 5.3","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in some",NA,"","Low lineage specificity","Detected in many",NA,"","Low cancer specificity","Detected in all",NA,"","Testis - Early spermatids","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA046723, HPA058011","Approved","","Supported","Nucleoplasm,Golgi apparatus,Plasma membrane,Mitochondria,Cytosol","Intracellular and membrane",NA,NA,NA,NA,"Cluster 3: Plasmacytoid DCs - Unknown function","Cluster 59: Non-specific - Translation","Cluster 61: Liver - Metabolism","Cluster 38: Neurons - Neuronal signaling","Golgi apparatus","Nucleoplasm, Plasma membrane, Mitochondria, Cytosol","HPA046723: AB_10960288, HPA058011: AB_2683578","unprognostic (8.04e-2)","unprognostic (3.22e-2)","unprognostic (4.53e-3)","unprognostic (3.19e-2)","unprognostic (2.55e-1)","unprognostic (9.11e-2)","prognostic unfavorable (9.45e-7)","unprognostic (2.26e-1)","unprognostic (3.62e-2)","unprognostic (1.53e-1)","unprognostic (1.18e-4)","unprognostic (3.02e-3)","prognostic unfavorable (1.52e-7)","unprognostic (1.51e-1)","unprognostic (9.55e-2)","unprognostic (7.75e-2)","unprognostic (2.30e-1)"
"ABCC5","EST277145, MOAT-C, MRP5, SMRP","ENSG00000114770","ATP binding cassette subfamily C member 5","O15440","3","183919934-184017939","Cancer-related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters","Transport","Translocase","Cancer-related genes","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in all",NA,"choroid plexus: 167.1","Cell type enhanced","Detected in all",NA,"Cone photoreceptor cells: 127.5;Excitatory neurons: 99.9;Inhibitory neurons: 120.2;Rod photoreceptor cells: 124.1","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in all",NA,"","Low lineage specificity","Detected in all",NA,"","Low cancer specificity","Detected in all",NA,"","Stomach - Gastric mucous cells","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA044067, HPA052295","Uncertain","","Approved","Nucleoplasm,Plasma membrane,Cell Junctions","",NA,NA,NA,NA,"Cluster 46: Basophils - DNA binding","Cluster 54: Non-specific - Microtubule organization","Cluster 60: Keratinocytes - Epithelial cell function","Cluster 37: Neurons - Neuronal signaling","Plasma membrane, Cell Junctions","Nucleoplasm","HPA044067: AB_2678797, HPA052295: AB_2681789","unprognostic (9.39e-2)","unprognostic (6.23e-3)","unprognostic (3.83e-2)","unprognostic (1.10e-3)","unprognostic (2.28e-2)","unprognostic (2.07e-1)","prognostic unfavorable (6.78e-8)","unprognostic (4.46e-2)","unprognostic (6.07e-3)","unprognostic (1.02e-1)","unprognostic (5.91e-3)","prognostic unfavorable (3.40e-4)","unprognostic (1.10e-1)","unprognostic (9.05e-3)","unprognostic (1.64e-1)","unprognostic (3.33e-2)","unprognostic (1.24e-2)"
"ABHD3","LABH3","ENSG00000158201","Abhydrolase domain containing 3, phospholipase","Q8WU67","18","21650901-21704780","Enzymes, Predicted intracellular proteins, Predicted membrane proteins","Lipid metabolism, Phospholipid metabolism","Hydrolase, Serine esterase","","Evidence at protein level","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Low tissue specificity","Detected in all",NA,"","Cell type enhanced","Detected in all",NA,"Distal enterocytes: 102.4;Syncytiotrophoblasts: 111.5","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in all",NA,"","Low lineage specificity","Detected in all",NA,"","Low cancer specificity","Detected in all",NA,"","","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA010729","Approved","","Approved","Nucleoplasm,Vesicles,Plasma membrane","",NA,NA,NA,NA,"Cluster 9: Neutrophils - Innate immune response","Cluster 9: Intestine - Unknown function","Cluster 44: Myeloma - Humoral immune response","Cluster 50: Enterocytes - Absorption","Nucleoplasm, Plasma membrane","Vesicles","HPA010729: AB_1844449","unprognostic (1.46e-1)","unprognostic (4.61e-2)","unprognostic (2.37e-2)","unprognostic (3.52e-1)","unprognostic (8.46e-2)","unprognostic (3.14e-3)","unprognostic (3.54e-3)","unprognostic (1.52e-1)","prognostic unfavorable (8.52e-4)","unprognostic (6.21e-2)","unprognostic (1.98e-1)","unprognostic (6.37e-2)","unprognostic (1.73e-1)","unprognostic (2.15e-2)","unprognostic (1.00e-1)","unprognostic (3.98e-2)","unprognostic (4.58e-2)"
"ABI1","ABI-1, E3B1, SSH3BP1","ENSG00000136754","Abl interactor 1","Q8IZP0","10","26746593-26861087","Cancer-related genes, Disease related genes, Predicted intracellular proteins","Host-virus interaction","","Cancer-related genes","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in all",NA,"","Cell type enhanced","Detected in all",NA,"Astrocytes: 269.5","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in all",NA,"","Low lineage specificity","Detected in all",NA,"","Low cancer specificity","Detected in all",NA,"","","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","CAB008375, HPA068407","Approved","","Approved","Plasma membrane,Cell Junctions","",NA,NA,NA,440000,"Cluster 5: Granulocytes - Unknown function","Cluster 53: Non-specific - Cell cycle regulation","Cluster 67: Non-specific - Mitochondria & RNA binding","Cluster 32: Neurons - Synaptic function","Plasma membrane, Cell Junctions","","CAB008375: AB_592744, HPA068407: AB_2685983","unprognostic (2.83e-3)","unprognostic (8.69e-2)","unprognostic (1.12e-1)","unprognostic (3.96e-1)","unprognostic (2.51e-2)","unprognostic (9.24e-3)","unprognostic (1.88e-3)","unprognostic (2.03e-1)","unprognostic (6.04e-2)","unprognostic (4.38e-1)","unprognostic (2.40e-2)","unprognostic (5.48e-2)","unprognostic (1.98e-1)","unprognostic (1.07e-1)","unprognostic (1.79e-1)","unprognostic (1.37e-1)","unprognostic (1.18e-1)"
"ABITRAM","C9orf6, CG-8, FAM206A, FLJ20457, Simiate","ENSG00000119328","Actin binding transcription modulator","Q9NX38","9","108934400-108950744","Plasma proteins, Predicted intracellular proteins","","Actin-binding","","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in all",NA,"","Low cell type specificity","Detected in many",NA,"","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in all",NA,"","Low lineage specificity","Detected in all",NA,"","Low cancer specificity","Detected in all",NA,"","Testis - Early spermatids, Testis - Spermatocytes","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA035917, HPA035918","Uncertain","","Approved","Nucleoplasm,Plasma membrane,Cytosol","",NA,"No",NA,NA,"Cluster 31: Non-specific - Inflammatory response","Cluster 42: Ciliated cells - Cilium & Cell projection","Cluster 55: Non-specific - Unknown function","Cluster 56: Ciliated cells - Cilium assembly","Nucleoplasm, Cytosol","Plasma membrane","HPA035917: AB_2674860, HPA035918: AB_10670593","unprognostic (4.89e-2)","unprognostic (2.62e-1)","unprognostic (1.85e-1)","unprognostic (4.00e-3)","unprognostic (1.05e-2)","unprognostic (4.23e-2)","unprognostic (1.91e-3)","unprognostic (1.10e-2)","unprognostic (1.83e-2)","unprognostic (1.42e-1)","unprognostic (1.16e-2)","unprognostic (3.50e-2)","unprognostic (1.57e-2)","unprognostic (3.25e-2)","unprognostic (2.03e-1)","unprognostic (2.28e-1)","unprognostic (1.62e-1)"
"ACIN1","ACINUS, fSAP152, KIAA0670","ENSG00000100813","Apoptotic chromatin condensation inducer 1","Q9UKV3","14","23058564-23095614","Plasma proteins, Predicted intracellular proteins, Transporters","Apoptosis, mRNA processing, mRNA splicing","RNA-binding","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in all",NA,"","Low cell type specificity","Detected in all",NA,"","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in all",NA,"","Low lineage specificity","Detected in all",NA,"","Low cancer specificity","Detected in all",NA,"","","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA000657","Supported","","Supported","Nucleoplasm,Plasma membrane,Cytosol","",NA,NA,NA,30000,"Cluster 33: Neutrophils - Chromatin organization","Cluster 32: Brain & Lymphoid tissue - Unknown function","Cluster 46: Non-specific - Unknown function","Cluster 64: Non-specific - Transcription","Nucleoplasm","Plasma membrane, Cytosol","HPA000657: AB_1078091","unprognostic (2.54e-3)","unprognostic (1.99e-1)","unprognostic (1.38e-2)","unprognostic (1.04e-1)","unprognostic (1.10e-1)","unprognostic (4.89e-3)","prognostic unfavorable (4.88e-5)","unprognostic (1.49e-3)","unprognostic (9.70e-2)","unprognostic (4.11e-2)","unprognostic (1.00e-2)","unprognostic (6.64e-3)","unprognostic (1.35e-3)","unprognostic (4.34e-2)","unprognostic (2.78e-2)","unprognostic (2.28e-2)","unprognostic (7.33e-2)"
"ACKR3","CMKOR1, CXCR7, GPR159, RDC1","ENSG00000144476","Atypical chemokine receptor 3","P25106","2","236567787-236582354","Cancer-related genes, G-protein coupled receptors, Predicted membrane proteins","Cell adhesion, Host-virus interaction","Developmental protein, G-protein coupled receptor, Receptor, Transducer","Cancer-related genes, Disease variant","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in all",NA,"","Cell type enhanced","Detected in many",NA,"Basal respiratory cells: 35.7;Endothelial cells: 42.3;Fibroblasts: 146.8;Smooth muscle cells: 51.1","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in many",NA,"","Group enriched","Detected in many",7,"NK-cells: 4.7;T-cells: 3.8","Low cancer specificity","Detected in many",NA,"","Testis - Sertoli cells","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA032003, HPA049718","Approved","","Supported","Vesicles,Plasma membrane","",NA,NA,NA,NA,"Cluster 22: NK-cells - Unknown function","Cluster 82: Adipose tissue - ECM organization","Cluster 68: Kidney - Mixed function","Cluster 65: Fibroblasts - ECM organization","Vesicles, Plasma membrane","","HPA032003: AB_2674107, HPA049718: AB_2680859","unprognostic (1.65e-2)","prognostic unfavorable (4.64e-4)","unprognostic (2.50e-1)","unprognostic (1.92e-3)","unprognostic (2.10e-1)","unprognostic (1.23e-1)","unprognostic (7.34e-3)","unprognostic (1.55e-2)","unprognostic (1.85e-2)","unprognostic (1.35e-1)","unprognostic (9.70e-3)","unprognostic (6.69e-2)","prognostic unfavorable (1.76e-6)","prognostic unfavorable (2.01e-4)","unprognostic (9.71e-2)","unprognostic (8.57e-3)","prognostic unfavorable (2.93e-4)"
"ACOT13","HT012, THEM2","ENSG00000112304","Acyl-CoA thioesterase 13","Q9NPJ3","6","24667035-24705065","Enzymes, Metabolic proteins, Predicted intracellular proteins","Lipid metabolism","Hydrolase","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in all",NA,"liver: 30.6","Cell type enhanced","Detected in all",NA,"Early spermatids: 754.0;Hepatocytes: 295.9;Late spermatids: 302.8;Proximal tubular cells: 492.2","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in all",NA,"","Low lineage specificity","Detected in all",NA,"","Low cancer specificity","Detected in all",NA,"","Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Testis - Early spermatids, Testis - Late spermatids, Thyroid - Thyroid glandular cells","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA019881, HPA057134","Enhanced","","Approved","Cell Junctions","",NA,NA,NA,NA,"Cluster 8: Neutrophils - Inflammatory response","Cluster 39: Non-specific - Mitochondria","Cluster 61: Liver - Metabolism","Cluster 49: Early spermatids - Spermatogenesis","Cell Junctions","","HPA019881: AB_1857978, HPA057134: ","unprognostic (3.61e-1)","unprognostic (1.62e-1)","unprognostic (6.02e-2)","unprognostic (1.80e-2)","unprognostic (9.57e-2)","unprognostic (1.21e-1)","unprognostic (1.19e-1)","unprognostic (1.19e-1)","unprognostic (1.71e-1)","prognostic favorable (2.53e-6)","unprognostic (3.67e-2)","unprognostic (1.64e-2)","unprognostic (7.16e-2)","unprognostic (5.97e-2)","unprognostic (4.86e-2)","unprognostic (1.50e-1)","unprognostic (2.13e-2)"
"ACOT9","ACATE2, CGI-16, MT-ACT48","ENSG00000123130","Acyl-CoA thioesterase 9","Q9Y305","X","23701055-23766475","Metabolic proteins, Predicted intracellular proteins","","Hydrolase, Serine esterase","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in all",NA,"","Cell type enhanced","Detected in many",NA,"Langerhans cells: 123.7;monocytes: 130.3","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in all",NA,"","Low lineage specificity","Detected in all",NA,"","Low cancer specificity","Detected in all",NA,"","Prostate - Smooth muscle cells, Skeletal muscle - Endothelial cells","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA035533","Supported","","Approved","Nucleoplasm,Plasma membrane,Cytosol","",NA,NA,NA,7600,"Cluster 8: Neutrophils - Inflammatory response","Cluster 46: Fibroblasts - ECM organization","Cluster 48: Non-specific - RNA binding","Cluster 23: Langerhans cells - Immune response","Plasma membrane, Cytosol","Nucleoplasm","HPA035533: AB_10696506","unprognostic (5.69e-2)","unprognostic (6.34e-2)","unprognostic (1.59e-1)","unprognostic (2.09e-1)","unprognostic (1.53e-2)","unprognostic (1.27e-2)","prognostic unfavorable (3.23e-4)","unprognostic (1.12e-1)","unprognostic (1.89e-1)","unprognostic (2.50e-1)","unprognostic (9.75e-3)","unprognostic (3.49e-2)","unprognostic (2.15e-3)","unprognostic (6.53e-2)","unprognostic (1.68e-1)","unprognostic (1.44e-1)","unprognostic (1.14e-1)"
"ACTN1","","ENSG00000072110","Actinin alpha 1","P12814","14","68874128-68979440","Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins","","Actin-binding","Disease variant, FDA approved drug targets","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in all",NA,"smooth muscle: 524.5","Cell type enhanced","Detected in many",NA,"Exocrine glandular cells: 320.1;Extravillous trophoblasts: 372.4;Pancreatic endocrine cells: 340.1","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in many",NA,"","Immune cell enhanced","Detected in many",NA,"neutrophil: 364.2","Low lineage specificity","Detected in many",NA,"","Low cancer specificity","Detected in all",NA,"","Colon - Smooth muscle cells, Lung - Smooth muscle cells, Prostate - Smooth muscle cells, Skin - Outer root sheath cells","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","CAB004303, HPA006035","Approved","","Approved","Plasma membrane,Actin filaments,Focal adhesion sites,Cytosol","",NA,NA,NA,2.1e+08,"Cluster 5: Granulocytes - Unknown function","Cluster 12: Smooth muscle tissue - Mixed function","Cluster 46: Non-specific - Unknown function","Cluster 15: Smooth muscle cells - Muscle contraction","Actin filaments, Focal adhesion sites","Plasma membrane, Cytosol","CAB004303: AB_626633, HPA006035: AB_1078095","unprognostic (4.40e-2)","unprognostic (1.03e-3)","unprognostic (2.49e-2)","unprognostic (1.96e-1)","unprognostic (1.19e-1)","prognostic unfavorable (2.49e-4)","unprognostic (6.19e-3)","prognostic unfavorable (7.63e-5)","unprognostic (3.62e-1)","unprognostic (3.23e-2)","unprognostic (3.16e-2)","unprognostic (1.71e-1)","prognostic unfavorable (9.08e-10)","unprognostic (2.87e-2)","unprognostic (2.00e-1)","unprognostic (6.05e-3)","prognostic unfavorable (8.00e-4)"
