Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
AL355315.1		ENSG00000249967	"Novel protein"		10	97584374-97673910	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Tissue enhanced"	"Detected in single"		"tongue: 1.5"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"												HPA076857			Uncertain	"Plasma membrane"		NA	NA				"Cluster 8: Non-specific - Mitochondria"	"Cluster 69: BICR 18 - Unknown function"		"Plasma membrane"		"HPA076857: AB_2686817"																	
AL645922.1		ENSG00000244255	"Novel complement component 2 (C2) and complement factor B (CFB) protein"		6	31927698-31952048	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"			"Tissue enhanced"	"Detected in single"		"liver: 2.9"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"												"HPA000951, HPA001817, HPA001832"	Approved		Approved	"Endoplasmic reticulum,Vesicles,Cell Junctions"		NA	NA				"Cluster 60: Liver - Hemostasis & Lipid metabolism"	"Cluster 61: Liver - Metabolism"		"Endoplasmic reticulum, Vesicles"	"Cell Junctions"	"HPA000951: AB_2797216, HPA001817: AB_1078779, HPA001832: AB_1078778"							"unprognostic (7.68e-2)"							"unprognostic (1.86e-2)"			
ANKRD30BL	"ANKRD30BP3, NCRNA00164"	ENSG00000163046	"Ankyrin repeat domain 30B like"	A7E2S9	2	132147591-132257969	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enriched"	"Detected in single"	21	"testis: 3.4"	"Group enriched"	"Detected in some"	5	"Excitatory neurons: 236.2;Inhibitory neurons: 223.6;Oligodendrocyte precursor cells: 70.8"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids"									HPA076167			Approved	"Plasma membrane"		NA	NA				"Cluster 78: Testis - Spermatogenesis"	"Cluster 44: Myeloma - Humoral immune response"	"Cluster 37: Neurons - Neuronal signaling"	"Plasma membrane"		"HPA076167: "				"unprognostic (1.67e-1)"	"unprognostic (1.42e-1)"					"unprognostic (5.57e-2)"		"unprognostic (2.15e-1)"		"unprognostic (2.99e-1)"	"unprognostic (2.17e-1)"	"unprognostic (1.42e-1)"	
ARL13A	ARL13	ENSG00000174225	"ADP ribosylation factor like GTPase 13A"	Q5H913	X	100969708-100990831	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	7	"testis: 5.1"	"Group enriched"	"Detected in some"	38	"Early spermatids: 67.3;Late spermatids: 63.7"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"HPA037377, HPA037378"	Uncertain		Approved	"Plasma membrane,Actin filaments,Cytosol"		NA	NA				"Cluster 27: Brain & Skin - Unknown function"	"Cluster 48: Non-specific - RNA binding"	"Cluster 36: Spermatids - Spermatogenesis"	"Plasma membrane"	"Actin filaments, Cytosol"	"HPA037377: AB_2675442, HPA037378: AB_10670932"	"unprognostic (4.40e-2)"	"unprognostic (1.05e-1)"	"unprognostic (1.02e-1)"	"unprognostic (1.08e-2)"	"unprognostic (1.93e-1)"	"unprognostic (9.06e-3)"	"unprognostic (2.58e-1)"	"unprognostic (3.95e-2)"	"unprognostic (1.82e-1)"	"unprognostic (1.06e-1)"	"unprognostic (1.18e-1)"	"unprognostic (1.51e-2)"	"unprognostic (4.50e-3)"	"unprognostic (1.46e-1)"	"unprognostic (2.46e-1)"	"unprognostic (9.37e-4)"	"unprognostic (2.14e-1)"
C20orf173	dJ477O4.4	ENSG00000125975	"Chromosome 20 open reading frame 173"	Q96LM9	20	35523186-35529652	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	45	"testis: 35.5"	"Group enriched"	"Detected in some"	113	"Early spermatids: 247.9;Late spermatids: 218.8"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Late spermatids"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			HPA076859			Uncertain	"Nucleoplasm,Vesicles,Plasma membrane"		NA	NA				"Cluster 74: Testis - Spermatogenesis"	"Cluster 65: Breast cancer - Unknown function"	"Cluster 49: Early spermatids - Spermatogenesis"	Nucleoplasm	"Vesicles, Plasma membrane"	"HPA076859: "										"unprognostic (1.90e-1)"				"unprognostic (1.03e-1)"			
C3orf20	DKFZP434N1817	ENSG00000131379	"Chromosome 3 open reading frame 20"	Q8ND61	3	14675141-14773036	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	15	"testis: 6.6"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 5.7;Early spermatids: 17.5;Excitatory neurons: 8.3;Inhibitory neurons: 6.8;Late spermatids: 32.7;Oligodendrocytes: 7.4"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	4	"lymphoma: 1.8"	"Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA039584	Uncertain		Uncertain	"Plasma membrane,Cytosol"		NA	NA				"Cluster 83: Testis - Spermatogenesis"	"Cluster 64: Lymphoma - Humoral immune response"	"Cluster 6: Late spermatids - Spermatogenesis"	"Plasma membrane, Cytosol"		"HPA039584: AB_10795152"	"unprognostic (1.23e-1)"	"unprognostic (2.82e-1)"	"unprognostic (5.88e-3)"	"unprognostic (2.04e-1)"	"unprognostic (3.51e-2)"	"unprognostic (5.76e-3)"	"unprognostic (1.81e-1)"	"unprognostic (7.82e-2)"	"unprognostic (1.63e-1)"	"unprognostic (1.18e-1)"	"unprognostic (9.08e-2)"	"unprognostic (4.74e-2)"	"unprognostic (3.24e-1)"	"unprognostic (1.26e-1)"	"unprognostic (1.97e-1)"	"unprognostic (1.44e-1)"	"unprognostic (1.39e-4)"
CBY2	"NURIT, SPERT"	ENSG00000174015	"Chibby family member 2"	Q8NA61	13	45702320-45714559	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	441	"testis: 99.1"	"Group enriched"	"Detected in some"	140	"Early spermatids: 478.2;Late spermatids: 1686.4"	"Cancer enhanced"	"Detected in single"		"urothelial cancer: 0.8"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Esophageal cancer: 1.2;head and neck cancer: 1.3"	"Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA039359, HPA040046"	Enhanced		Approved	"Plasma membrane,Cell Junctions"		NA	NA			"Cluster 4: T-regs - Cell cycle regulation"	"Cluster 36: Testis - Spermatogenesis"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 36: Spermatids - Spermatogenesis"	"Plasma membrane, Cell Junctions"		"HPA039359: AB_10794088, HPA040046: AB_10796117"	"unprognostic (2.86e-1)"	"unprognostic (3.38e-1)"	"unprognostic (1.64e-2)"	"unprognostic (1.65e-1)"	"unprognostic (3.76e-2)"	"unprognostic (4.19e-4)"		"unprognostic (8.52e-2)"	"unprognostic (8.87e-2)"	"unprognostic (1.23e-1)"	"unprognostic (4.38e-1)"		"unprognostic (2.38e-2)"	"unprognostic (1.21e-1)"	"unprognostic (1.56e-2)"	"unprognostic (1.97e-2)"	"unprognostic (4.15e-3)"
CIB3	KIP3	ENSG00000141977	"Calcium and integrin binding family member 3"	Q96Q77	19	16161368-16173525	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"bone marrow: 1.2"	"Cell type enriched"	"Detected in some"	5	"Late spermatids: 9.6"	"Cancer enriched"	"Detected in single"	7	"breast cancer: 0.9"	"Not detected"	"Not detected"			"Immune cell enhanced"	"Detected in single"		"eosinophil: 2.3"	"Lineage enriched"	"Detected in single"	10	"granulocytes: 2.3"	"Not detected"	"Not detected"				"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA043553, HPA043995"	Uncertain		Approved	"Plasma membrane,Cytosol"		NA	NA			"Cluster 52: Eosinophils - Transcription"	"Cluster 67: Neutrophils - Humoral immune response"	"Cluster 62: Granulocytes - Innate immune response"	"Cluster 6: Late spermatids - Spermatogenesis"	"Plasma membrane, Cytosol"		"HPA043553: AB_10964566, HPA043995: "	"unprognostic (8.43e-2)"	"unprognostic (7.26e-5)"		"unprognostic (3.18e-2)"	"unprognostic (2.62e-1)"	"unprognostic (5.32e-2)"	"unprognostic (1.95e-2)"	"unprognostic (1.25e-1)"		"unprognostic (3.14e-1)"	"unprognostic (2.93e-2)"	"unprognostic (3.05e-1)"		"unprognostic (5.68e-2)"	"unprognostic (3.42e-1)"		"unprognostic (1.54e-2)"
CSMD3		ENSG00000164796	"CUB and Sushi multiple domains 3"	Q7Z407	8	112222928-113436939	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	7	"brain: 6.8"	"Group enriched"	"Detected in some"	13	"Excitatory neurons: 902.5;Inhibitory neurons: 846.2;Oligodendrocyte precursor cells: 1686.7"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Colon - Colon enteroendocrine cells, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA029007, HPA029008"	Uncertain		Approved	"Plasma membrane"		NA	NA				"Cluster 65: Brain - Ion transport"	"Cluster 29: TT & NCI-H1385 - Synaptic signal transduction"	"Cluster 32: Neurons - Synaptic function"	"Plasma membrane"		"HPA029007: AB_10601802, HPA029008: "	"unprognostic (2.26e-1)"	"unprognostic (2.16e-2)"	"unprognostic (2.83e-2)"	"unprognostic (5.97e-2)"	"unprognostic (3.44e-2)"	"unprognostic (1.26e-2)"		"unprognostic (3.54e-4)"	"unprognostic (2.48e-1)"	"unprognostic (2.54e-1)"	"unprognostic (2.89e-2)"	"unprognostic (2.33e-2)"	"unprognostic (5.03e-10)"	"unprognostic (1.95e-1)"	"unprognostic (4.14e-3)"	"unprognostic (1.91e-2)"	"unprognostic (1.74e-3)"
DPPA5	Esg1	ENSG00000203909	"Developmental pluripotency associated 5"	A6NC42	6	73353063-73354276	"Predicted intracellular proteins"		"Developmental protein, RNA-binding"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"testis: 2.1"	"Group enriched"	"Detected in some"	14	"Spermatocytes: 3.1;Spermatogonia: 1.8"	"Cancer enriched"	"Detected in single"	2209	"testis cancer: 347.6"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	5	"testis cancer: 6.9"		"Low region specificity"	"Detected in single"			"Not detected"	"Not detected"			"HPA055016, HPA064505"	Uncertain		Uncertain	"Cell Junctions"		NA	NA				"Cluster 83: Testis - Spermatogenesis"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 47: Spermatogonia - Spermatogenesis"	"Cell Junctions"		"HPA055016: , HPA064505: AB_2685275"															"unprognostic (1.85e-1)"		
