"X"	"Subcellular.location..CC."	"Intramembrane"	"Topological.domain"	"Transmembrane"
"55"	"P15144"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:2564851, ECO:0000269|PubMed:9056417}; Single-pass type II membrane protein {ECO:0000305|PubMed:1350662}. Note=Also found as a soluble form. {ECO:0000269|PubMed:7902291}."	NA	"TOPO_DOM 2..8; /note=Cytoplasmic; /evidence=ECO:0000305|PubMed:1350662; TOPO_DOM 33..967; /note=Extracellular; /evidence=ECO:0000269|PubMed:1350662"	"TRANSMEM 9..32; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"86"	"P07306"	"SUBCELLULAR LOCATION: [Isoform H1a]: Membrane; Single-pass type II membrane protein.; SUBCELLULAR LOCATION: [Isoform H1b]: Secreted {ECO:0000269|PubMed:20886072}."	NA	"TOPO_DOM 1..40; /note=Cytoplasmic; /evidence=ECO:0000305; TOPO_DOM 62..291; /note=Extracellular; /evidence=ECO:0000305"	"TRANSMEM 41..61; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000305"
"87"	"P07307"	"SUBCELLULAR LOCATION: Membrane; Single-pass type II membrane protein."	NA	"TOPO_DOM 1..58; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 80..311; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 59..79; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"150"	"P28907"	"SUBCELLULAR LOCATION: Cell surface {ECO:0000269|PubMed:2319135}. Membrane {ECO:0000269|PubMed:8253715}; Single-pass type II membrane protein."	NA	"TOPO_DOM 1..21; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 43..300; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 22..42; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"186"	"Q8N1N0"	"SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}."	NA	"TOPO_DOM 1..39; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 61..589; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 40..60; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"187"	"Q9NY25"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21566123}; Single-pass type II membrane protein {ECO:0000269|PubMed:21566123}."	NA	"TOPO_DOM 1..4; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 28..188; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 5..27; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"188"	"Q8IZS7"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12421943}; Single-pass type II membrane protein {ECO:0000269|PubMed:12421943}."	NA	"TOPO_DOM 1..67; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 89..167; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 68..88; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"198"	"Q9UMD9"	"SUBCELLULAR LOCATION: Cell junction, hemidesmosome. Membrane; Single-pass type II membrane protein. Note=Localized along the plasma membrane of the hemidesmosome.; SUBCELLULAR LOCATION: [120 kDa linear IgA disease antigen]: Secreted, extracellular space, extracellular matrix, basement membrane. Note=Exclusively localized to anchoring filaments. Localized to the epidermal side of split skin.; SUBCELLULAR LOCATION: [97 kDa linear IgA disease antigen]: Secreted, extracellular space, extracellular matrix, basement membrane. Note=Localized in the lamina lucida beneath the hemidesmosomes."	NA	"TOPO_DOM 1..467; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 489..1497; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 468..488; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"202"	"Q5KU26"	"SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:11162630}; Single-pass type II membrane protein {ECO:0000269|PubMed:11162630}. Note=Forms clusters on the cell surface."	NA	"TOPO_DOM 1..37; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 59..742; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 38..58; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"205"	"Q9Y5Q5"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19751717, ECO:0000269|PubMed:21288900, ECO:0000269|PubMed:21518754}; Single-pass type II membrane protein {ECO:0000269|PubMed:19751717, ECO:0000269|PubMed:21288900, ECO:0000269|PubMed:21518754}. Note=May easily detached from the endothelial cell membrane.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane; Single-pass type II membrane protein. Note=Less efficiently targeted to the cell membrane compared to isoform 1.; SUBCELLULAR LOCATION: [Atrial natriuretic peptide-converting enzyme, 180 kDa soluble fragment]: Secreted. Note=Soluble form produced following cleavage by ADAM10.; SUBCELLULAR LOCATION: [Atrial natriuretic peptide-converting enzyme, 160 kDa soluble fragment]: Secreted. Note=Soluble form produced following autocatalytic cleavage.; SUBCELLULAR LOCATION: [Atrial natriuretic peptide-converting enzyme, 100 kDa soluble fragment]: Secreted. Note=Soluble form produced following autocatalytic cleavage."	NA	"TOPO_DOM 1..45; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 67..1042; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 46..66; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
