Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ABCA12	"DKFZP434G232, ICR2B, LI2"	ENSG00000144452	"ATP binding cassette subfamily A member 12"	Q86UK0	2	214931542-215138626	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Disease variant, Ichthyosis"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"breast: 5.7;skin 1: 20.7"	"Cell type enhanced"	"Detected in some"		"Basal keratinocytes: 12.3;Basal respiratory cells: 7.1;Ionocytes: 6.4;Suprabasal keratinocytes: 33.0"	"Cancer enhanced"	"Detected in many"		"head and neck cancer: 5.4"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Breast - Breast glandular cells, Skin - Keratinocyte (granular)"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	7	"cerebral cortex: 1.0;hippocampal formation: 1.1"	HPA078239			Approved	"Nucleoli,Vesicles,Plasma membrane,Cytosol"		NA	NA				"Cluster 61: Skin - Cornification"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 22: Squamous epithelial cells - Keratinization"	"Vesicles, Plasma membrane"	"Nucleoli, Cytosol"	"HPA078239: AB_2732373"	"unprognostic (6.12e-2)"	"unprognostic (4.33e-2)"	"unprognostic (1.43e-1)"	"unprognostic (2.03e-1)"	"unprognostic (2.49e-1)"	"unprognostic (2.13e-1)"	"unprognostic (2.09e-4)"	"unprognostic (6.52e-3)"	"unprognostic (3.75e-2)"	"unprognostic (1.11e-1)"	"unprognostic (6.35e-4)"	"unprognostic (2.50e-2)"	"unprognostic (7.69e-2)"	"unprognostic (5.92e-2)"	"unprognostic (2.64e-2)"	"unprognostic (2.36e-1)"	"unprognostic (5.08e-2)"
ABCB11	"ABC16, BSEP, PFIC-2, PFIC2, PGY4, SPGP"	ENSG00000073734	"ATP binding cassette subfamily B member 11"	O95342	2	168915498-169031324	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Disease variant, Intrahepatic cholestasis"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	13	"liver: 80.8"	"Group enriched"	"Detected in some"	5	"Early spermatids: 42.3;Hepatocytes: 124.5"	"Cancer enriched"	"Detected in single"	87	"liver cancer: 6.7"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"liver cancer: 1.8"	"Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA019035	Enhanced		Uncertain	"Nucleoplasm,Plasma membrane,Cytosol"		NA	NA				"Cluster 62: Liver - Hemostasis"	"Cluster 61: Liver - Metabolism"	"Cluster 13: Hepatocytes - Oxidoreductase activity"	"Nucleoplasm, Plasma membrane, Cytosol"		"HPA019035: AB_1844429"	"unprognostic (7.78e-2)"	"unprognostic (3.92e-1)"	"unprognostic (8.31e-2)"	"unprognostic (2.56e-1)"	"unprognostic (1.13e-1)"	"unprognostic (5.10e-2)"	"unprognostic (1.00e-2)"	"unprognostic (9.71e-2)"	"unprognostic (1.18e-1)"	"unprognostic (1.72e-2)"	"unprognostic (5.64e-3)"	"unprognostic (3.71e-1)"	"unprognostic (5.26e-6)"	"unprognostic (7.12e-2)"	"unprognostic (1.82e-1)"		"unprognostic (1.94e-1)"
ABCB4	"GBD1, MDR2, MDR3, PFIC-3, PGY3"	ENSG00000005471	"ATP binding cassette subfamily B member 4"	P21439	7	87401696-87480435	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Disease variant, Intrahepatic cholestasis"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	16	"liver: 123.2"	"Cell type enriched"	"Detected in some"	10	"Hepatocytes: 204.6"	"Cancer enriched"	"Detected in some"	11	"liver cancer: 16.3"	"Low region specificity"	"Detected in single"			"Group enriched"	"Detected in some"	5	"memory B-cell: 4.4;naive B-cell: 8.1"	"Lineage enriched"	"Detected in many"	7	"B-cells: 8.1"	"Cancer enhanced"	"Detected in some"		"skin cancer: 9.2"	"Colon - Enteric glia cells, Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes, Skin - Fibroblast_1"	"Low region specificity"	"Detected in many"							"HPA049395, HPA053288"	Enhanced		Approved	"Nucleoplasm,Plasma membrane,Focal adhesion sites,Cytosol"		NA	NA			"Cluster 21: B-cells - Adaptive immune response"	"Cluster 62: Liver - Hemostasis"	"Cluster 33: Skin cancer - Membrane components"	"Cluster 13: Hepatocytes - Oxidoreductase activity"	"Nucleoplasm, Plasma membrane"	"Focal adhesion sites, Cytosol"	"HPA049395: AB_2680745, HPA053288: AB_2682102"	"unprognostic (7.92e-2)"	"unprognostic (8.87e-2)"	"unprognostic (1.97e-1)"	"unprognostic (1.90e-1)"	"unprognostic (8.95e-2)"	"unprognostic (1.06e-2)"	"unprognostic (2.35e-3)"	"unprognostic (9.91e-2)"	"unprognostic (3.53e-1)"	"unprognostic (1.19e-1)"	"unprognostic (2.44e-3)"	"unprognostic (8.43e-2)"	"unprognostic (2.83e-2)"	"unprognostic (8.01e-3)"	"unprognostic (7.12e-2)"	"unprognostic (2.11e-2)"	"unprognostic (2.47e-1)"
AC008403.1		ENSG00000268465	"Novel protein"		19	48465837-48472431	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Tissue enhanced"	"Detected in some"		"intestine: 1.2;retina: 5.2;testis: 1.6"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"												HPA060662			Uncertain	"Plasma membrane,Cytosol"		NA	NA				"Cluster 77: Retina - Visual perception"	"Cluster 69: BICR 18 - Unknown function"		"Plasma membrane, Cytosol"		"HPA060662: AB_2732652"																	
AC020907.6		ENSG00000285526	"Novel protein"		19	35106510-35124297	"Predicted membrane proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Tissue enhanced"	"Detected in some"		"brain: 3.3;choroid plexus: 3.1;salivary gland: 7.3"	"Not detected"	"Not detected"							"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"skin cancer: 5.0"		"Low region specificity"	"Detected in some"			"Region enhanced"	"Detected in some"		"spinal cord: 3.8"	HPA010856	Uncertain		Approved	"Nucleoplasm,Plasma membrane"		NA	NA					"Cluster 33: Skin cancer - Membrane components"		Nucleoplasm	"Plasma membrane"	"HPA010856: AB_1078915"																	
ADGRG7	"FLJ14454, GPR128"	ENSG00000144820	"Adhesion G protein-coupled receptor G7"	Q96K78	3	100609601-100695479	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	15	"intestine: 42.9;liver: 24.7"	"Group enriched"	"Detected in some"	4	"Hepatocytes: 22.7;Intestinal goblet cells: 9.6;Paneth cells: 20.4;Proximal enterocytes: 34.5"	"Cancer enhanced"	"Detected in some"		"stomach cancer: 3.4"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bone cancer: 1.8;Brain cancer: 1.5"	"Colon - Colon enterocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			HPA056451			Approved	"Plasma membrane"		NA	NA				"Cluster 41: Intestine & Liver - Lipid metabolism"	"Cluster 20: Connective tissue cells - ECM organization"	"Cluster 13: Hepatocytes - Oxidoreductase activity"	"Plasma membrane"		"HPA056451: "		"unprognostic (1.65e-1)"	"unprognostic (1.10e-1)"		"unprognostic (2.79e-1)"	"unprognostic (8.46e-3)"	"unprognostic (1.26e-1)"	"unprognostic (6.71e-2)"			"unprognostic (9.37e-3)"		"unprognostic (2.84e-5)"	"unprognostic (1.17e-1)"	"unprognostic (2.16e-1)"		"unprognostic (6.77e-2)"
ADH1A	ADH1	ENSG00000187758	"Alcohol dehydrogenase 1A (class I), alpha polypeptide"	P07327	4	99276369-99291003	"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"		Oxidoreductase	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	306	"liver: 2739.1"	"Cell type enriched"	"Detected in some"	11	"Hepatocytes: 210.6"	"Cancer enriched"	"Detected in some"	251	"liver cancer: 165.9"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Breast - Adipocytes (Breast), Liver - Hepatocytes"									"CAB009562, HPA047814, HPA060902"	Enhanced		Approved	"Plasma membrane,Cytosol"		NA	NA		38000000		"Cluster 60: Liver - Hemostasis & Lipid metabolism"	"Cluster 41: Non-specific - Cilium assembly"	"Cluster 13: Hepatocytes - Oxidoreductase activity"	"Plasma membrane, Cytosol"		"CAB009562: AB_2257984, HPA047814: AB_2680163, HPA060902: AB_2684384"	"unprognostic (5.89e-2)"	"unprognostic (6.16e-2)"		"unprognostic (1.20e-1)"	"unprognostic (2.07e-1)"	"unprognostic (4.40e-1)"	"prognostic favorable (2.38e-4)"	"unprognostic (2.78e-3)"		"unprognostic (4.25e-1)"	"unprognostic (4.79e-3)"	"unprognostic (6.21e-2)"	"unprognostic (9.36e-2)"	"unprognostic (3.25e-2)"	"unprognostic (1.40e-1)"		"unprognostic (2.86e-2)"
ADH7	ADH-4	ENSG00000196344	"Alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"	P40394	4	99412261-99435737	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Lipid metabolism"	Oxidoreductase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"esophagus: 196.3"	"Cell type enhanced"	"Detected in some"		"Basal keratinocytes: 114.3;Basal respiratory cells: 78.0;Basal squamous epithelial cells: 58.9;Club cells: 53.8;Squamous epithelial cells: 237.5;Suprabasal keratinocytes: 203.9"	"Cancer enhanced"	"Detected in some"		"cervical cancer: 18.4;head and neck cancer: 18.9;lung cancer: 22.4"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	9	"Esophageal cancer: 29.4;Gallbladder cancer: 98.7"	"Liver - Hepatocytes, Lung - Respiratory ciliated cells, Stomach - Gastric mucous cells"	"Not detected"	"Not detected"							HPA039695	Enhanced		Supported	"Plasma membrane,Cytosol"		NA	NA				"Cluster 84: Esophagus - Epithelial cell function"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 22: Squamous epithelial cells - Keratinization"	"Plasma membrane, Cytosol"		"HPA039695: AB_10795681"		"unprognostic (1.02e-2)"			"unprognostic (8.64e-2)"	"unprognostic (4.86e-2)"	"unprognostic (5.66e-3)"	"unprognostic (4.50e-2)"	"unprognostic (1.66e-1)"					"unprognostic (2.02e-1)"			"unprognostic (1.88e-2)"
AFM	"ALB2, ALBA"	ENSG00000079557	Afamin	P43652	4	73481745-73504001	"Plasma proteins, Predicted secreted proteins"	"Protein transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	12	"liver: 961.6"	"Cell type enriched"	"Detected in some"	8	"Hepatocytes: 297.6"	"Cancer enriched"	"Detected in single"	167	"liver cancer: 62.0"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Liver - Hepatocytes"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA017006, HPA052437"	Enhanced		Uncertain	"Plasma membrane"	"Secreted to blood"	NA	NA	54900000000	8700000000		"Cluster 85: Liver - Metabolism"	"Cluster 41: Non-specific - Cilium assembly"	"Cluster 13: Hepatocytes - Oxidoreductase activity"	"Plasma membrane"		"HPA017006: AB_1844635, HPA052437: AB_2732575"							"prognostic favorable (1.80e-4)"				"unprognostic (5.73e-2)"		"unprognostic (4.24e-2)"				
AL357075.4		ENSG00000288520	"Novel protein"	G9CGD6	6	154159828-154510114	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in some"			"Not detected"	"Not detected"							"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"												"HPA028708, HPA028710, HPA049651"	Uncertain		Approved	"Nucleoli,Nuclear speckles,Plasma membrane,Cytoplasmic bodies"		NA	NA					"Cluster 29: TT & NCI-H1385 - Synaptic signal transduction"		"Nuclear speckles, Plasma membrane"	"Nucleoli, Cytoplasmic bodies"	"HPA028708: AB_10601916, HPA028710: AB_2732442, HPA049651: AB_2680841"																	
