"X"	"Subcellular.location..CC."	"Intramembrane"	"Topological.domain"	"Transmembrane"
"13"	"O14672"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20624979, ECO:0000269|PubMed:23676497, ECO:0000269|PubMed:24990881, ECO:0000269|PubMed:26686862, ECO:0000269|PubMed:29430990, ECO:0000269|PubMed:30463011}; Single-pass type I membrane protein {ECO:0000305}. Golgi apparatus membrane {ECO:0000269|PubMed:12475894}; Single-pass type I membrane protein {ECO:0000305}. Cytoplasmic vesicle, clathrin-coated vesicle {ECO:0000269|PubMed:12475894}. Cell projection, axon {ECO:0000250|UniProtKB:O35598}. Cell projection, dendrite {ECO:0000250|UniProtKB:O35598}. Cell junction, adherens junction {ECO:0000269|PubMed:30463011}. Cytoplasm {ECO:0000269|PubMed:30463011}. Note=Is localized in the plasma membrane but is also expressed in the Golgi apparatus and in clathrin-coated vesicles derived likely from the Golgi (PubMed:12475894). During long term depression, it is recruited to the cell membrane by DLG1 (PubMed:23676497). The immature form is mainly located near cytoplasmic fibrillar structures, while the mature form is predominantly located at zonula adherens and the cell membrane (PubMed:30463011). The localization and clustering of mature ADAM10 to zonula adherens is regulated by AFDN, TSPAN33, PLEKHA7 and PDZD11 (PubMed:30463011). {ECO:0000269|PubMed:12475894, ECO:0000269|PubMed:23676497, ECO:0000269|PubMed:30463011}."	NA	"TOPO_DOM 20..672; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 694..748; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 673..693; /note=Helical; /evidence=ECO:0000255"
"28"	"Q86SJ2"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Nucleus {ECO:0000250}. Note=Associated with nucleus as well as plasma membrane. Restricted to somata of cerebellar as well as hippocampal neurons (By similarity). {ECO:0000250}."	NA	"TOPO_DOM 40..398; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 420..522; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 399..419; /note=Helical; /evidence=ECO:0000255"
"86"	"P30530"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:28076778, ECO:0000269|PubMed:29379210, ECO:0000269|PubMed:7896447}; Single-pass type I membrane protein {ECO:0000269|PubMed:7896447}."	NA	"TOPO_DOM 26..451; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 473..894; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 452..472; /note=Helical; /evidence=ECO:0000255"
"88"	"P56817"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11466313}; Single-pass type I membrane protein {ECO:0000305|PubMed:11466313}. Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:11466313, ECO:0000269|PubMed:15615712, ECO:0000269|PubMed:15886016, ECO:0000269|PubMed:17425515, ECO:0000269|PubMed:20354142, ECO:0000269|PubMed:23109336}. Endoplasmic reticulum {ECO:0000269|PubMed:11466313, ECO:0000269|PubMed:17425515}. Endosome {ECO:0000269|PubMed:11466313, ECO:0000269|PubMed:15886016}. Cell surface {ECO:0000269|PubMed:11466313, ECO:0000269|PubMed:15886016, ECO:0000269|PubMed:17425515, ECO:0000269|PubMed:23109336}. Cytoplasmic vesicle membrane {ECO:0000269|PubMed:11466313, ECO:0000269|PubMed:15886016}; Single-pass type I membrane protein {ECO:0000305|PubMed:11466313}. Membrane raft {ECO:0000250|UniProtKB:P56818}. Lysosome {ECO:0000269|PubMed:16033761, ECO:0000269|PubMed:23109336, ECO:0000269|PubMed:27084579, ECO:0000269|PubMed:27302062}. Late endosome {ECO:0000269|PubMed:16033761, ECO:0000269|PubMed:23109336, ECO:0000269|PubMed:27084579, ECO:0000269|PubMed:27302062}. Early endosome {ECO:0000269|PubMed:15615712, ECO:0000269|PubMed:15886016, ECO:0000269|PubMed:23109336, ECO:0000269|PubMed:27084579, ECO:0000269|PubMed:27302062}. Recycling endosome {ECO:0000269|PubMed:15886016, ECO:0000269|PubMed:27084579, ECO:0000269|PubMed:27302062}. Cell projection, axon {ECO:0000250|UniProtKB:P56818}. Cell projection, dendrite {ECO:0000250|UniProtKB:P56818}. Note=Predominantly localized to the later Golgi/trans-Golgi network (TGN) and minimally detectable in the early Golgi compartments. A small portion is also found in the endoplasmic reticulum, endosomes and on the cell surface (PubMed:17425515, PubMed:11466313). Colocalization with APP in early endosomes is due to addition of bisecting N-acetylglucosamine wich blocks targeting to late endosomes and lysosomes (By similarity). Retrogradly transported from endosomal compartments to the trans-Golgi network in a phosphorylation- and GGA1- dependent manner (PubMed:15886016). {ECO:0000250|UniProtKB:P56818, ECO:0000269|PubMed:11466313, ECO:0000269|PubMed:15886016, ECO:0000269|PubMed:17425515}."	NA	"TOPO_DOM 22..457; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 479..501; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 458..478; /note=Helical; /evidence=ECO:0000255"
"101"	"Q7KYR7"	"SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}."	NA	"TOPO_DOM 29..248; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 270..527; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 249..269; /note=Helical; /evidence=ECO:0000255"
"141"	"Q86VB7"	"SUBCELLULAR LOCATION: [Soluble CD163]: Secreted {ECO:0000269|PubMed:12296867}.; SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10577520, ECO:0000269|PubMed:10648003}; Single-pass type I membrane protein {ECO:0000269|PubMed:10577520, ECO:0000269|PubMed:10648003}. Note=Isoform 1 and isoform 2 show a lower surface expression when expressed in cells."	NA	"TOPO_DOM 42..1050; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 1072..1156; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 1051..1071; /note=Helical; /evidence=ECO:0000255"
"143"	"Q9UGN4"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}."	NA	"TOPO_DOM 18..180; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 202..299; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 181..201; /note=Helical; /evidence=ECO:0000255"
"144"	"P28906"	"SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein."	NA	"TOPO_DOM 32..290; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 312..385; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 291..311; /note=Helical; /evidence=ECO:0000255"
"145"	"P01730"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12089508, ECO:0000269|PubMed:12517957, ECO:0000269|PubMed:2823150, ECO:0000269|PubMed:2990730}; Single-pass type I membrane protein {ECO:0000269|PubMed:12517957, ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:1708753}. Note=Localizes to lipid rafts (PubMed:12517957, PubMed:9168119). Removed from plasma membrane by HIV-1 Nef protein that increases clathrin-dependent endocytosis of this antigen to target it to lysosomal degradation. Cell surface expression is also down-modulated by HIV-1 Envelope polyprotein gp160 that interacts with, and sequesters CD4 in the endoplasmic reticulum."	NA	"TOPO_DOM 26..396; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 419..458; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 397..418; /note=Helical; /evidence=ECO:0000255"
"146"	"P16070"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22726066, ECO:0000269|PubMed:23589287}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, microvillus {ECO:0000250|UniProtKB:P15379}. Secreted {ECO:0000269|PubMed:25326458, ECO:0000269|PubMed:36213313}. Note=Colocalizes with actin in membrane protrusions at wounding edges. Co-localizes with RDX, EZR and MSN in microvilli. Localizes to cholesterol-rich membrane-bound lipid raft domains. {ECO:0000250|UniProtKB:P15379, ECO:0000269|PubMed:23589287}."	NA	"TOPO_DOM 21..649; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 671..742; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 650..670; /note=Helical; /evidence=ECO:0000255"
