"X"	"Subcellular.location..CC."	"Intramembrane"	"Topological.domain"	"Transmembrane"
"9"	"Q9UM73"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:34819673, ECO:0000269|PubMed:9174053}; Single-pass type I membrane protein {ECO:0000269|PubMed:16317043, ECO:0000269|PubMed:9174053}. Note=Membrane attachment is essential for promotion of neuron-like differentiation and cell proliferation arrest through specific activation of the MAP kinase pathway. {ECO:0000269|PubMed:16317043}."	NA	"TOPO_DOM 19..1038; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 1060..1620; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 1039..1059; /note=Helical; /evidence=ECO:0000255"
"30"	"Q16790"	"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:8486430}. Nucleus, nucleolus {ECO:0000269|PubMed:8486430}. Cell membrane {ECO:0000269|PubMed:8486430}; Single-pass type I membrane protein {ECO:0000269|PubMed:8486430}. Cell projection, microvillus membrane {ECO:0000269|PubMed:8486430}; Single-pass type I membrane protein {ECO:0000269|PubMed:8486430}. Note=Found on the surface microvilli and in the nucleus, particularly in nucleolus."	NA	"TOPO_DOM 38..414; /note=Extracellular; TOPO_DOM 436..459; /note=Cytoplasmic"	"TRANSMEM 415..435; /note=Helical; /evidence=ECO:0000255"
"43"	"A8K4G0"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}."	NA	"TOPO_DOM 18..151; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 173..201; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 152..172; /note=Helical; /evidence=ECO:0000255"
"45"	"Q9Y6N8"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}."	NA	"TOPO_DOM 55..613; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 635..788; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 614..634; /note=Helical; /evidence=ECO:0000255"
"46"	"P55291"	"SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein."	NA	"TOPO_DOM 61..606; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 627..814; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 607..626; /note=Helical; /evidence=ECO:0000255"
"47"	"P55283"	"SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein."	NA	"TOPO_DOM 170..734; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 757..916; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 735..756; /note=Helical; /evidence=ECO:0000255"
"48"	"P55286"	"SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein."	NA	"TOPO_DOM 62..621; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 643..799; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 622..642; /note=Helical; /evidence=ECO:0000255"
"62"	"Q9UQC9"	"SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Basal cell membrane; Single-pass type I membrane protein. Cell junction.; SUBCELLULAR LOCATION: [Calcium-activated chloride channel regulator 2, 109 kDa form]: Secreted. Note=Remains associated to the 35 kDa form until an unidentified event triggers the release."	NA	"TOPO_DOM 32..901; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 923..943; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 902..922; /note=Helical; /evidence=ECO:0000255"
"71"	"Q9HC73"	"SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000305}."	NA	"TOPO_DOM 23..231; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 253..371; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 232..252; /note=Helical; /evidence=ECO:0000255"
"81"	"Q9NYJ7"	"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}."	NA	"TOPO_DOM 27..492; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 514..618; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 493..513; /note=Helical; /evidence=ECO:0000255"
"90"	"P60508"	"SUBCELLULAR LOCATION: Virion {ECO:0000305}.; SUBCELLULAR LOCATION: [Surface protein]: Cell membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}. Note=The surface protein is not anchored to the membrane, but localizes to the extracellular surface through its binding to TM. {ECO:0000250|UniProtKB:Q9UQF0}.; SUBCELLULAR LOCATION: [Transmembrane protein]: Cell membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000255}."	NA	"TOPO_DOM 16..478; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 500..538; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 479..499; /note=Helical; /evidence=ECO:0000255"
"95"	"Q5JX71"	"SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000250|UniProtKB:A2APA5}; Single-pass type I membrane protein {ECO:0000255}."	NA	"TOPO_DOM 20..52; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 74..171; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 53..73; /note=Helical; /evidence=ECO:0000255"
"99"	"Q8TDW7"	"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}."	NA	"TOPO_DOM 33..4154; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 4176..4557; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 4155..4175; /note=Helical; /evidence=ECO:0000255"
"100"	"P24071"	"SUBCELLULAR LOCATION: [Isoform A.1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform A.2]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform A.3]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform B]: Secreted.; SUBCELLULAR LOCATION: [Isoform B-delta-S2]: Secreted."	NA	"TOPO_DOM 22..227; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 247..287; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 228..246; /note=Helical; /evidence=ECO:0000255"
"124"	"Q9HCN6"	"SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane; Single-pass membrane protein."	NA	"TOPO_DOM 21..267; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 289..339; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 268..288; /note=Helical; /evidence=ECO:0000255"
