"","Subcellular.location..CC.","Intramembrane","Topological.domain","Transmembrane"
"Q8IZY2","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12917409, ECO:0000269|PubMed:14592415}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000250|UniProtKB:Q91V24}; Multi-pass membrane protein {ECO:0000255}. Early endosome membrane {ECO:0000250|UniProtKB:Q91V24}; Multi-pass membrane protein {ECO:0000255}. Cytoplasm {ECO:0000250|UniProtKB:Q91V24}. Cell projection, ruffle membrane {ECO:0000250|UniProtKB:Q91V24}. Cell projection, phagocytic cup {ECO:0000250|UniProtKB:Q91V24}. Note=Localizes to cell membrane ruffles and phagocytic cups of macrophages stimulated with C1q or apoptotic cells. Localizes to the cytoplasm of resting macrophages, probably in Golgi and endosomes. Localizes to the apical brush border of cells in the proximal tubules of kidney (By similarity). {ECO:0000250|UniProtKB:Q91V24}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:14592415}. Endoplasmic reticulum {ECO:0000269|PubMed:14592415}. Note=May localize to the endoplasmic reticulum. {ECO:0000269|PubMed:14592415}.",NA,"TOPO_DOM 43..549; /note=Extracellular; /evidence=ECO:0000250; TOPO_DOM 1264..1537; /note=Extracellular; /evidence=ECO:0000250","TRANSMEM 22..42; /note=Helical; /evidence=ECO:0000255; TRANSMEM 550..570; /note=Helical; /evidence=ECO:0000255; TRANSMEM 593..613; /note=Helical; /evidence=ECO:0000255; TRANSMEM 626..646; /note=Helical; /evidence=ECO:0000255; TRANSMEM 655..675; /note=Helical; /evidence=ECO:0000255; TRANSMEM 687..707; /note=Helical; /evidence=ECO:0000255; TRANSMEM 727..747; /note=Helical; /evidence=ECO:0000255; TRANSMEM 849..869; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1243..1263; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1538..1558; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1584..1604; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1621..1641; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1649..1669; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1683..1703; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1729..1749; /note=Helical; /evidence=ECO:0000255"
"P33527","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16230346, ECO:0000269|PubMed:31273342}; Multi-pass membrane protein {ECO:0000255}. Basolateral cell membrane {ECO:0000269|PubMed:9426231}; Multi-pass membrane protein {ECO:0000255}.",NA,"TOPO_DOM 1..33; /note=Extracellular; TOPO_DOM 55..74; /note=Cytoplasmic; TOPO_DOM 96..100; /note=Extracellular; TOPO_DOM 122..133; /note=Cytoplasmic; TOPO_DOM 155..172; /note=Extracellular; TOPO_DOM 194..316; /note=Cytoplasmic; TOPO_DOM 338..363; /note=Extracellular; TOPO_DOM 385..440; /note=Cytoplasmic; TOPO_DOM 462..464; /note=Extracellular; TOPO_DOM 486..547; /note=Cytoplasmic; TOPO_DOM 569..590; /note=Extracellular; TOPO_DOM 612..967; /note=Cytoplasmic; TOPO_DOM 989..1025; /note=Extracellular; TOPO_DOM 1047..1089; /note=Cytoplasmic; TOPO_DOM 1111; /note=Extracellular; TOPO_DOM 1133..1203; /note=Cytoplasmic; TOPO_DOM 1225..1226; /note=Extracellular; TOPO_DOM 1248..1531; /note=Cytoplasmic","TRANSMEM 34..54; /note=Helical; Name=1; TRANSMEM 75..95; /note=Helical; Name=2; TRANSMEM 101..121; /note=Helical; Name=3; TRANSMEM 134..154; /note=Helical; Name=4; TRANSMEM 173..193; /note=Helical; Name=5; TRANSMEM 317..337; /note=Helical; Name=6; TRANSMEM 364..384; /note=Helical; Name=7; TRANSMEM 441..461; /note=Helical; Name=8; TRANSMEM 465..485; /note=Helical; Name=9; TRANSMEM 548..568; /note=Helical; Name=10; TRANSMEM 591..611; /note=Helical; Name=11; TRANSMEM 968..988; /note=Helical; Name=12; TRANSMEM 1026..1046; /note=Helical; Name=13; TRANSMEM 1090..1110; /note=Helical; Name=14; TRANSMEM 1112..1132; /note=Helical; Name=15; TRANSMEM 1204..1224; /note=Helical; Name=16; TRANSMEM 1227..1247; /note=Helical; Name=17"
"O15440","SUBCELLULAR LOCATION: Basolateral cell membrane {ECO:0000269|PubMed:24836561}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus lumen {ECO:0000269|PubMed:24836561}. Endosome membrane {ECO:0000269|PubMed:24836561}. Cytoplasmic granule {ECO:0000250|UniProtKB:Q9R1X5}. Apical cell membrane {ECO:0000269|PubMed:15501592}; Multi-pass membrane protein {ECO:0000255}. Note=In most cells, routes to the basolateral plasma membrane, but in the brain capillary endothelial cells that form the blood-brain barrier, resides in the apical membrane. {ECO:0000269|PubMed:15501592, ECO:0000269|PubMed:24836561}.",NA,NA,"TRANSMEM 179..199; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 219..239; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 296..316; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 317..337; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 400..420; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 434..454; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 608..628; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 848..868; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 917..937; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 997..1017; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 1018..1038; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 1104..1124; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 1127..1147; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441"
"Q8IZP0","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Cell projection, lamellipodium {ECO:0000250}. Cell projection, filopodium {ECO:0000250}. Cell projection, growth cone {ECO:0000250}. Postsynaptic density {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Note=Localized to protruding lamellipodia and filopodia tips. Also localized to neuronal growth cones and synaptosomes. May shuttle from the postsynaptic densities to the nucleus (By similarity). {ECO:0000250}.",NA,NA,NA
"O94929","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.",NA,NA,NA
"Q9NPJ3","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9CQR4}. Mitochondrion {ECO:0000250|UniProtKB:Q9CQR4}. Nucleus {ECO:0000250|UniProtKB:Q9CQR4}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q9CQR4}. Note=During interphase, found both in the nucleus and in the cytoplasm. At mitosis, localizes to the spindle. Colocalizes with tubulin. {ECO:0000250|UniProtKB:Q9CQR4}.",NA,NA,NA
"Q9P0K1","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:27066583}; Single-pass type I membrane protein {ECO:0000305}. Cell projection, axon {ECO:0000250|UniProtKB:Q9R1V6}.",NA,"TOPO_DOM 223..736; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 758..906; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 737..757; /note=Helical; /evidence=ECO:0000255"
"P55196","SUBCELLULAR LOCATION: Cell junction, adherens junction {ECO:0000269|PubMed:30463011}. Note=Not found at cell-matrix AJs. {ECO:0000250|UniProtKB:O35889}.",NA,NA,NA
"Q15109","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22509345}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, phagocytic cup {ECO:0000269|PubMed:35974093}. Early endosome {ECO:0000269|PubMed:22509345}. Nucleus {ECO:0000269|PubMed:33918759, ECO:0000269|PubMed:36807739}. Note=Detected on the surface of CD11c+ peripheral blood mononuclear cells under basal conditions and after activation (PubMed:22509345). No surface expression is observed on resting T cells (PubMed:22509345). Localizes intracellularly in early endosomes in activated T cells of healthy controls and in resting T cells of patients with type I diabetes (PubMed:22509345). Nuclear translocation is enhanced by irradiation, hypoxia and reperfusion injury to brain or kidney (By similarity). Nuclear localization is enhanced by DNA damage in trophoblasts and increases in pre-term labor and preeclampsia placentas compared to control placentas (PubMed:33918759). {ECO:0000250|UniProtKB:Q62151, ECO:0000269|PubMed:22509345, ECO:0000269|PubMed:33918759}.; SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:24081950, ECO:0000269|PubMed:27572515, ECO:0000269|PubMed:33436632}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.; SUBCELLULAR LOCATION: [Isoform 10]: Cell membrane {ECO:0000269|PubMed:24260107}; Single-pass type I membrane protein {ECO:0000269|PubMed:24260107}.",NA,"TOPO_DOM 23..342; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 364..404; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 343..363; /note=Helical; /evidence=ECO:0000255"
"Q4VCS5","SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000269|PubMed:16043488}. Note=Localized on the cell surface. May act as a transmembrane protein.",NA,NA,NA
