"X"	"Subcellular.location..CC."	"Intramembrane"	"Topological.domain"	"Transmembrane"
"9"	"Q9UM73"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:34819673, ECO:0000269|PubMed:9174053}; Single-pass type I membrane protein {ECO:0000269|PubMed:16317043, ECO:0000269|PubMed:9174053}. Note=Membrane attachment is essential for promotion of neuron-like differentiation and cell proliferation arrest through specific activation of the MAP kinase pathway. {ECO:0000269|PubMed:16317043}."	NA	"TOPO_DOM 19..1038; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 1060..1620; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 1039..1059; /note=Helical; /evidence=ECO:0000255"
"20"	"P51164"	"SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000250|UniProtKB:P20648}; Single-pass type II membrane protein {ECO:0000255}. Cell membrane {ECO:0000250|UniProtKB:P18597}; Single-pass type II membrane protein {ECO:0000255}. Note=Localized in the apical canalicular membrane of parietal cells. {ECO:0000250|UniProtKB:P20648}."	NA	"TOPO_DOM 1..36; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 58..291; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 37..57; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"30"	"Q16790"	"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:8486430}. Nucleus, nucleolus {ECO:0000269|PubMed:8486430}. Cell membrane {ECO:0000269|PubMed:8486430}; Single-pass type I membrane protein {ECO:0000269|PubMed:8486430}. Cell projection, microvillus membrane {ECO:0000269|PubMed:8486430}; Single-pass type I membrane protein {ECO:0000269|PubMed:8486430}. Note=Found on the surface microvilli and in the nucleus, particularly in nucleolus."	NA	"TOPO_DOM 38..414; /note=Extracellular; TOPO_DOM 436..459; /note=Cytoplasmic"	"TRANSMEM 415..435; /note=Helical; /evidence=ECO:0000255"
"34"	"Q9BXU9"	"SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000305|PubMed:19338761}; Single-pass type IV membrane protein {ECO:0000305|PubMed:19338761}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:19338761}. Cell membrane {ECO:0000305|PubMed:19338761}; Single-pass type IV membrane protein {ECO:0000305|PubMed:19338761}."	NA	"TOPO_DOM 1..234; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 256..261; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 235..255; /note=Helical; Anchor for type IV membrane protein; /evidence=ECO:0000255"
"43"	"A8K4G0"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}."	NA	"TOPO_DOM 18..151; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 173..201; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 152..172; /note=Helical; /evidence=ECO:0000255"
"44"	"P29965"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:8626375}; Single-pass type II membrane protein {ECO:0000303|PubMed:8626375}. Cell surface {ECO:0000269|PubMed:15067037, ECO:0000269|PubMed:7678552}.; SUBCELLULAR LOCATION: [CD40 ligand, soluble form]: Secreted {ECO:0000269|PubMed:8626375}. Note=Release of soluble CD40L from platelets is partially regulated by GP IIb/IIIa, actin polymerization, and a matrix metalloproteinases (MMP) inhibitor-sensitive pathway. {ECO:0000269|PubMed:15193700}."	NA	"TOPO_DOM 1..22; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 47..261; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 23..46; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"45"	"Q9Y6N8"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}."	NA	"TOPO_DOM 55..613; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 635..788; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 614..634; /note=Helical; /evidence=ECO:0000255"
"46"	"P55291"	"SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein."	NA	"TOPO_DOM 61..606; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 627..814; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 607..626; /note=Helical; /evidence=ECO:0000255"
"47"	"P55283"	"SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein."	NA	"TOPO_DOM 170..734; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 757..916; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 735..756; /note=Helical; /evidence=ECO:0000255"
"48"	"P55286"	"SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein."	NA	"TOPO_DOM 62..621; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 643..799; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 622..642; /note=Helical; /evidence=ECO:0000255"
"55"	"Q6ZU64"	"SUBCELLULAR LOCATION: Cell projection, cilium, flagellum membrane {ECO:0000269|PubMed:33472045}; Single-pass membrane protein {ECO:0000305}. Cytoplasmic vesicle, secretory vesicle, acrosome membrane {ECO:0000269|PubMed:31413122, ECO:0000269|PubMed:33472045}; Single-pass type I membrane protein {ECO:0000255}. Cytoplasm {ECO:0000269|PubMed:31413122}. Note=Expressed in flagella midpiece and acrosome of mature spermatozoa. {ECO:0000269|PubMed:31413122, ECO:0000269|PubMed:33472045}."	NA	NA	"TRANSMEM 188..208; /note=Helical; /evidence=ECO:0000255"
"62"	"Q9UQC9"	"SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Basal cell membrane; Single-pass type I membrane protein. Cell junction.; SUBCELLULAR LOCATION: [Calcium-activated chloride channel regulator 2, 109 kDa form]: Secreted. Note=Remains associated to the 35 kDa form until an unidentified event triggers the release."	NA	"TOPO_DOM 32..901; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 923..943; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 902..922; /note=Helical; /evidence=ECO:0000255"
"65"	"Q6UVW9"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18046548, ECO:0000269|PubMed:18550855}; Single-pass type II membrane protein {ECO:0000269|PubMed:18046548, ECO:0000269|PubMed:18550855}."	NA	"TOPO_DOM 1..27; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 49..174; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 28..48; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"71"	"Q9HC73"	"SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000305}."	NA	"TOPO_DOM 23..231; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 253..371; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 232..252; /note=Helical; /evidence=ECO:0000255"
