"X"	"Subcellular.location..CC."	"Intramembrane"	"Topological.domain"	"Transmembrane"
"156"	"P07306"	"SUBCELLULAR LOCATION: [Isoform H1a]: Membrane; Single-pass type II membrane protein.; SUBCELLULAR LOCATION: [Isoform H1b]: Secreted {ECO:0000269|PubMed:20886072}."	NA	"TOPO_DOM 1..40; /note=Cytoplasmic; /evidence=ECO:0000305; TOPO_DOM 62..291; /note=Extracellular; /evidence=ECO:0000305"	"TRANSMEM 41..61; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000305"
"223"	"Q10589"	"SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network. Cell membrane {ECO:0000269|PubMed:26172439}; Single-pass type II membrane protein. Cell membrane {ECO:0000269|PubMed:19879838, ECO:0000269|PubMed:26172439}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:19879838, ECO:0000305|PubMed:26172439}. Membrane raft. Cytoplasm. Apical cell membrane {ECO:0000250}. Note=Shuttles between the cell membrane, where it is present predominantly in membrane/lipid rafts, and the trans-Golgi network. Forms a complex with MMP14 and localizes to the cytoplasm.; SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:26172439}. Late endosome {ECO:0000269|PubMed:20419159}. Note=(Microbial infection) HIV-1 VPU and HIV-2 ENV can target it to the trans-Golgi network thus sequestering it away from virus assembly sites on the cell membrane. Targeted to late endosomes upon KSHV infection and subsequent ubiquitination. {ECO:0000269|PubMed:20419159, ECO:0000269|PubMed:26172439}."	NA	"TOPO_DOM 1..20; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 49..161; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 21..48; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"281"	"Q9BXU9"	"SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000305|PubMed:19338761}; Single-pass type IV membrane protein {ECO:0000305|PubMed:19338761}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:19338761}. Cell membrane {ECO:0000305|PubMed:19338761}; Single-pass type IV membrane protein {ECO:0000305|PubMed:19338761}."	NA	"TOPO_DOM 1..234; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 256..261; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 235..255; /note=Helical; Anchor for type IV membrane protein; /evidence=ECO:0000255"
"347"	"Q9UHN6"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:28246172}; Single-pass type II membrane protein {ECO:0000269|PubMed:28246172}."	NA	"TOPO_DOM 1..82; /note=Cytoplasmic; /evidence=ECO:0000305; TOPO_DOM 104..1383; /note=Extracellular; /evidence=ECO:0000305"	"TRANSMEM 83..103; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"410"	"Q6PJW8"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19864490}; Single-pass membrane protein {ECO:0000269|PubMed:19864490}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:19864490}; Single-pass membrane protein {ECO:0000269|PubMed:19864490}. Cytoplasmic vesicle, secretory vesicle {ECO:0000269|PubMed:19864490}. Note=Located predominantly in the trans-Golgi network. Probably trafficks between the trans-Golgi network and the cell membrane via the secretory pathway."	NA	"TOPO_DOM 1..664; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 686..725; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 665..685; /note=Helical; /evidence=ECO:0000255"
"419"	"Q9BXS0"	"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}. Note=After proteolytic cleavage, CLAC is secreted."	NA	"TOPO_DOM 1..33; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 55..654; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 34..54; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"429"	"Q5KU26"	"SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:11162630}; Single-pass type II membrane protein {ECO:0000269|PubMed:11162630}. Note=Forms clusters on the cell surface."	NA	"TOPO_DOM 1..37; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 59..742; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 38..58; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"435"	"P21964"	"SUBCELLULAR LOCATION: [Isoform Soluble]: Cytoplasm {ECO:0000269|PubMed:11559542}.; SUBCELLULAR LOCATION: [Isoform Membrane-bound]: Cell membrane {ECO:0000269|PubMed:21846718}; Single-pass type II membrane protein {ECO:0000269|PubMed:21846718}; Extracellular side {ECO:0000269|PubMed:21846718}."	NA	"TOPO_DOM 1..6; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 27..271; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 7..26; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"541"	"P55073"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12419801}; Single-pass type II membrane protein {ECO:0000269|PubMed:12419801}. Endosome membrane {ECO:0000269|PubMed:12419801}; Single-pass type II membrane protein {ECO:0000269|PubMed:12419801}."	NA	"TOPO_DOM 1..44; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 68..304; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 45..67; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"559"	"Q9Y2G8"	"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:32492081}; Single-pass type IV membrane protein {ECO:0000305}."	NA	"TOPO_DOM 26..535; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 557..782; /note=Extracellular; /evidence=ECO:0000255"	"TRANSMEM 536..556; /note=Helical; Anchor for type IV membrane protein; /evidence=ECO:0000255"
