Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
AACS	"ACSF1, FLJ12389, SUR-5"	ENSG00000081760	"Acetoacetyl-CoA synthetase"	Q86V21	12	125065434-125143333	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Excitatory neurons: 58.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Stomach - Gastric mucous cells, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA058815	Approved		Approved	Vesicles		NA	NA			"Cluster 44: Non-specific - Transcription"	"Cluster 31: Skin - Epidermis development"	"Cluster 41: Non-specific - Cilium assembly"	"Cluster 21: Serous glandular cells - Salivary secretion"	Vesicles		"HPA058815: AB_2683826"	"unprognostic (1.28e-1)"	"unprognostic (9.78e-2)"	"unprognostic (1.86e-1)"	"unprognostic (1.06e-1)"	"unprognostic (1.98e-3)"	"unprognostic (9.46e-3)"	"unprognostic (6.60e-6)"	"unprognostic (3.03e-2)"	"unprognostic (3.32e-2)"	"unprognostic (2.45e-2)"	"unprognostic (2.38e-2)"	"unprognostic (3.04e-1)"	"unprognostic (2.69e-2)"	"unprognostic (1.69e-1)"	"unprognostic (3.73e-2)"	"unprognostic (7.71e-2)"	"unprognostic (6.80e-2)"
AADAT	"KAT2, KATII, KYAT2"	ENSG00000109576	"Aminoadipate aminotransferase"	Q8N5Z0	4	170060222-170091699	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		"Aminotransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"liver: 67.1"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 21.5;Extravillous trophoblasts: 79.5;Hepatocytes: 28.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"prostate cancer: 45.4"	"Liver - Hepatocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			HPA037502	Enhanced		Approved	"Vesicles,Plasma membrane"		NA	NA				"Cluster 85: Liver - Metabolism"	"Cluster 24: Prostate cancer - Lipid metabolism"	"Cluster 54: Extravillous trophoblasts - Unknown function"	"Plasma membrane"	Vesicles	"HPA037502: AB_10671759"	"unprognostic (1.90e-1)"	"unprognostic (1.82e-2)"	"prognostic favorable (5.59e-4)"	"unprognostic (4.21e-2)"	"unprognostic (1.30e-1)"	"unprognostic (1.06e-1)"	"unprognostic (7.41e-2)"	"unprognostic (1.03e-2)"	"unprognostic (2.97e-2)"	"unprognostic (3.38e-2)"	"unprognostic (1.23e-2)"	"unprognostic (3.55e-1)"	"unprognostic (1.35e-1)"	"unprognostic (1.23e-2)"	"unprognostic (1.39e-1)"	"unprognostic (7.28e-3)"	"unprognostic (1.17e-2)"
AAK1	"DKFZp686K16132, KIAA1048"	ENSG00000115977	"AP2 associated kinase 1"	Q2M2I8	2	69457997-69674349	"Enzymes, Predicted intracellular proteins"	Endocytosis	"Kinase, Serine/threonine-protein kinase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"parathyroid gland: 89.7"	"Cell type enhanced"	"Detected in all"		"Cone photoreceptor cells: 439.4;Rod photoreceptor cells: 744.9"	"Low cancer specificity"	"Detected in all"			"Region enriched"	"Detected in many"	6	"cerebral cortex: 31.0"	"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA017931, HPA020289"	Enhanced		Approved	"Vesicles,Plasma membrane,Cytosol"		NA	No			"Cluster 14: Monocytes - Unknown function"	"Cluster 48: Parathyroid gland - membrane proteins"	"Cluster 45: Non-specific - Cell proliferation"	"Cluster 64: Non-specific - Transcription"	"Vesicles, Plasma membrane"	Cytosol	"HPA017931: AB_1844406, HPA020289: AB_1844407"	"unprognostic (2.11e-3)"	"unprognostic (3.18e-2)"	"unprognostic (3.67e-1)"	"unprognostic (1.01e-3)"	"unprognostic (5.06e-2)"	"unprognostic (4.04e-2)"	"unprognostic (4.23e-2)"	"unprognostic (1.14e-1)"	"unprognostic (3.52e-1)"	"prognostic unfavorable (3.19e-4)"	"unprognostic (1.24e-1)"	"unprognostic (7.65e-2)"	"unprognostic (4.18e-2)"	"unprognostic (1.30e-1)"	"unprognostic (5.40e-2)"	"unprognostic (6.76e-3)"	"unprognostic (1.18e-1)"
AASS	"LKRSDH, LORSDH"	ENSG00000008311	"Aminoadipate-semialdehyde synthase"	Q9UDR5	7	122064583-122144308	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"		"Multifunctional enzyme, Oxidoreductase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 44.3"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 141.4;Hepatocytes: 223.2;Oligodendrocytes: 125.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"testis cancer: 37.8"		"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA020637, HPA020728, HPA020734"	Enhanced		Approved	Nucleoplasm,Vesicles,Mitochondria		Yes	No		19000		"Cluster 15: Liver - Metabolism"	"Cluster 6: BEWO - Unknown function"	"Cluster 29: Hepatocytes - Metabolism"	Mitochondria	"Nucleoplasm, Vesicles"	"HPA020637: AB_1844415, HPA020728: AB_1844416, HPA020734: AB_1844417"	"unprognostic (4.84e-2)"	"unprognostic (2.29e-1)"	"unprognostic (7.91e-4)"	"unprognostic (6.08e-2)"	"unprognostic (1.49e-2)"	"unprognostic (8.00e-2)"	"prognostic favorable (9.81e-4)"	"unprognostic (4.48e-3)"	"unprognostic (2.38e-1)"	"unprognostic (1.47e-1)"	"unprognostic (1.98e-1)"	"unprognostic (1.99e-1)"	"unprognostic (7.76e-3)"	"unprognostic (8.56e-3)"	"unprognostic (1.55e-1)"	"unprognostic (6.50e-2)"	"unprognostic (2.67e-1)"
ABCA1	"ABC1, HDLDT1, TGD"	ENSG00000165029	"ATP binding cassette subfamily A member 1"	O95477	9	104781006-104928155	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Cholesterol metabolism, Lipid metabolism, Steroid metabolism, Sterol metabolism, Transport"	Translocase	"Atherosclerosis, Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"granulocytes: 120.9;Hepatocytes: 136.6;Langerhans cells: 127.5;Macrophages: 110.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	5	"eosinophil: 13.1;neutrophil: 10.6"	"Lineage enriched"	"Detected in many"	8	"granulocytes: 13.1"	"Low cancer specificity"	"Detected in many"			"Breast - Adipocytes (Breast)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA057283, CAB069889"	Approved		Approved	Nucleoplasm,Vesicles		NA	NA			"Cluster 52: Eosinophils - Transcription"	"Cluster 15: Liver - Metabolism"	"Cluster 3: HUVEC & TIME - Signal transduction"	"Cluster 69: Macrophages - Innate immune response"	"Nucleoplasm, Vesicles"		"CAB069889: AB_10002789, HPA057283: AB_2683396"	"unprognostic (1.58e-2)"	"unprognostic (2.54e-1)"	"unprognostic (1.46e-1)"	"unprognostic (2.80e-1)"	"unprognostic (7.47e-3)"	"unprognostic (1.85e-1)"	"unprognostic (9.22e-2)"	"unprognostic (9.80e-2)"	"unprognostic (2.04e-1)"	"unprognostic (7.28e-3)"	"unprognostic (2.14e-1)"	"unprognostic (4.78e-2)"	"unprognostic (1.04e-2)"	"unprognostic (2.00e-3)"	"unprognostic (2.51e-2)"	"unprognostic (6.71e-2)"	"unprognostic (2.57e-1)"
ABCA12	"DKFZP434G232, ICR2B, LI2"	ENSG00000144452	"ATP binding cassette subfamily A member 12"	Q86UK0	2	214931542-215138626	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Disease variant, Ichthyosis"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"breast: 5.7;skin 1: 20.7"	"Cell type enhanced"	"Detected in some"		"Basal keratinocytes: 12.3;Basal respiratory cells: 7.1;Ionocytes: 6.4;Suprabasal keratinocytes: 33.0"	"Cancer enhanced"	"Detected in many"		"head and neck cancer: 5.4"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Breast - Breast glandular cells, Skin - Keratinocyte (granular)"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	7	"cerebral cortex: 1.0;hippocampal formation: 1.1"	HPA078239			Approved	"Nucleoli,Vesicles,Plasma membrane,Cytosol"		NA	NA				"Cluster 61: Skin - Cornification"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 22: Squamous epithelial cells - Keratinization"	"Vesicles, Plasma membrane"	"Nucleoli, Cytosol"	"HPA078239: AB_2732373"	"unprognostic (6.12e-2)"	"unprognostic (4.33e-2)"	"unprognostic (1.43e-1)"	"unprognostic (2.03e-1)"	"unprognostic (2.49e-1)"	"unprognostic (2.13e-1)"	"unprognostic (2.09e-4)"	"unprognostic (6.52e-3)"	"unprognostic (3.75e-2)"	"unprognostic (1.11e-1)"	"unprognostic (6.35e-4)"	"unprognostic (2.50e-2)"	"unprognostic (7.69e-2)"	"unprognostic (5.92e-2)"	"unprognostic (2.64e-2)"	"unprognostic (2.36e-1)"	"unprognostic (5.08e-2)"
ABCA13	"FLJ33876, FLJ33951"	ENSG00000179869	"ATP binding cassette subfamily A member 13"		7	48171458-48647497	"Predicted membrane proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Tissue enriched"	"Detected in some"	15	"bone marrow: 44.6"	"Group enriched"	"Detected in some"	5	"Basal respiratory cells: 34.6;Club cells: 22.3;Ionocytes: 68.1;Respiratory ciliated cells: 85.1"	"Cancer enhanced"	"Detected in some"		"lung cancer: 2.0"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"lymphoma: 6.1"	"Lung - Respiratory ciliated cells"	"Not detected"	"Not detected"							HPA063601			Approved	Vesicles,Centrosome,Cytosol		NA	NA			"Cluster 17: Basophils - Unknown function"	"Cluster 67: Neutrophils - Humoral immune response"	"Cluster 54: Lymphoma - Cytokine signaling"	"Cluster 5: Bronchus - Unknown function"	Vesicles	"Centrosome, Cytosol"	"HPA063601: AB_2685057"	"unprognostic (8.97e-2)"	"unprognostic (5.82e-2)"	"unprognostic (3.18e-1)"	"unprognostic (6.48e-2)"	"unprognostic (2.65e-2)"	"unprognostic (5.59e-2)"	"unprognostic (5.19e-2)"	"unprognostic (2.33e-3)"	"unprognostic (1.90e-1)"	"unprognostic (1.86e-3)"	"unprognostic (6.03e-3)"	"unprognostic (3.26e-1)"	"unprognostic (1.89e-2)"	"unprognostic (1.99e-1)"	"unprognostic (1.25e-1)"	"unprognostic (2.04e-1)"	"unprognostic (3.62e-2)"
ABCA2	ABC2	ENSG00000107331	"ATP binding cassette subfamily A member 2"	Q9BZC7	9	137007234-137028922	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport	Translocase	"Disease variant, Epilepsy, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	23	"brain: 543.0"	"Cell type enriched"	"Detected in many"	7	"Oligodendrocytes: 367.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"				"Low region specificity"	"Detected in all"							HPA042886	Approved		Supported	Vesicles		NA	NA			"Cluster 3: Plasmacytoid DCs - Unknown function"	"Cluster 70: Brain - Nervous system development"	"Cluster 65: Breast cancer - Unknown function"	"Cluster 8: Oligodendrocytes - Myelin sheath organization"	Vesicles		"HPA042886: AB_2678213"	"unprognostic (1.01e-2)"	"unprognostic (9.21e-3)"	"unprognostic (9.59e-2)"	"unprognostic (6.15e-2)"	"unprognostic (1.02e-1)"	"unprognostic (8.08e-2)"	"unprognostic (2.20e-2)"	"unprognostic (1.13e-2)"	"unprognostic (5.61e-3)"	"unprognostic (1.76e-1)"	"unprognostic (2.93e-2)"	"unprognostic (2.74e-2)"	"unprognostic (6.78e-3)"	"unprognostic (3.14e-3)"	"unprognostic (1.37e-1)"	"unprognostic (2.80e-1)"	"unprognostic (1.36e-1)"
ABCB9	EST122234	ENSG00000150967	"ATP binding cassette subfamily B member 9"	Q9NP78	12	122920951-122981649	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Peptide transport, Protein transport, Transport"	Translocase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 20.4;testis: 17.8"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 45.7;Inhibitory neurons: 40.8;Plasma cells: 111.0"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"basophil: 2.6;memory B-cell: 2.5"	"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB033052, HPA035113, HPA035114"	Approved		Supported	Vesicles		NA	NA			"Cluster 17: Basophils - Unknown function"	"Cluster 6: Brain - Smell perception"	"Cluster 44: Myeloma - Humoral immune response"	"Cluster 40: Plasma cells - Humoral immune response"	Vesicles		"CAB033052: AB_2273463, HPA035113: AB_2674470, HPA035114: AB_10601329"	"unprognostic (1.47e-2)"	"unprognostic (6.46e-4)"	"unprognostic (3.96e-2)"	"unprognostic (2.73e-1)"	"prognostic unfavorable (5.65e-4)"	"unprognostic (1.46e-1)"	"unprognostic (2.67e-2)"	"unprognostic (2.35e-1)"	"unprognostic (4.08e-2)"	"unprognostic (6.07e-2)"	"unprognostic (2.28e-1)"	"unprognostic (1.24e-1)"	"unprognostic (1.37e-2)"	"unprognostic (6.97e-2)"	"unprognostic (1.70e-1)"	"unprognostic (3.58e-3)"	"unprognostic (2.71e-2)"
ABCG1	ABC8	ENSG00000160179	"ATP binding cassette subfamily G member 1"	P45844	21	42199689-42297244	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Rod photoreceptor cells: 121.0;Syncytiotrophoblasts: 77.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	5	"eosinophil: 35.5;neutrophil: 36.6"	"Lineage enriched"	"Detected in all"	5	"granulocytes: 36.6"	"Low cancer specificity"	"Detected in many"			"Kidney - Endothelial cells, Liver - Vascular Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA031470, HPA031471"	Approved		Supported	"Golgi apparatus,Vesicles"		NA	NA			"Cluster 5: Granulocytes - Unknown function"	"Cluster 32: Brain & Lymphoid tissue - Unknown function"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 19: Macrophages - Innate immune response"	"Golgi apparatus, Vesicles"		"HPA031470: AB_10599188, HPA031471: AB_10600201"	"unprognostic (2.89e-2)"	"unprognostic (2.53e-2)"	"unprognostic (9.96e-2)"	"unprognostic (4.20e-3)"	"unprognostic (2.87e-1)"	"unprognostic (3.09e-2)"	"unprognostic (5.74e-2)"	"unprognostic (2.07e-1)"	"unprognostic (1.54e-1)"	"unprognostic (1.66e-3)"	"unprognostic (3.66e-3)"	"unprognostic (6.37e-2)"	"prognostic favorable (7.16e-6)"	"unprognostic (1.40e-2)"	"unprognostic (2.00e-2)"	"unprognostic (1.66e-1)"	"unprognostic (2.42e-2)"
