"X"	"Subcellular.location..CC."	"Intramembrane"	"Topological.domain"	"Transmembrane"
"11"	"Q9BUJ0"	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}."	NA	NA	"TRANSMEM 35..55; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"13"	"Q8WU67"	"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}."	NA	NA	"TRANSMEM 26..46; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"15"	"Q9BV23"	"SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000250|UniProtKB:Q8R2Y0}; Single-pass type II membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000250|UniProtKB:Q8R2Y0}; Single-pass type II membrane protein {ECO:0000255}. Mitochondrion membrane {ECO:0000250|UniProtKB:Q8R2Y0}; Single-pass type II membrane protein {ECO:0000255}."	NA	"TOPO_DOM 1..8; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 30..337; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 9..29; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"22"	"P12821"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12386153}; Single-pass type I membrane protein {ECO:0000255}. Cytoplasm {ECO:0000250|UniProtKB:P09470}. Note=Detected in both cell membrane and cytoplasm in neurons. {ECO:0000250|UniProtKB:P09470}.; SUBCELLULAR LOCATION: [Angiotensin-converting enzyme, soluble form]: Secreted {ECO:0000269|PubMed:10769174, ECO:0000269|PubMed:11274151, ECO:0000269|PubMed:7499427, ECO:0000269|PubMed:8253769}.; SUBCELLULAR LOCATION: [Isoform Testis-specific]: Cell membrane {ECO:0000269|PubMed:1668266, ECO:0000269|PubMed:8626443}; Single-pass type I membrane protein {ECO:0000255}. Secreted {ECO:0000269|PubMed:1668266}. Note=The testis-specific isoform can be cleaved before the transmembrane region, releasing a soluble form. {ECO:0000269|PubMed:1668266}."	NA	"TOPO_DOM 30..1256; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 1278..1306; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 1257..1277; /note=Helical; /evidence=ECO:0000255"
"31"	"P33121"	"SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Peroxisome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Microsome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:24269233}; Single-pass type III membrane protein {ECO:0000250}."	NA	"TOPO_DOM 46..698; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 25..45; /note=Helical; Signal-anchor for type III membrane protein; /evidence=ECO:0000255"
"36"	"O14672"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20624979, ECO:0000269|PubMed:23676497, ECO:0000269|PubMed:24990881, ECO:0000269|PubMed:26686862, ECO:0000269|PubMed:29430990, ECO:0000269|PubMed:30463011}; Single-pass type I membrane protein {ECO:0000305}. Golgi apparatus membrane {ECO:0000269|PubMed:12475894}; Single-pass type I membrane protein {ECO:0000305}. Cytoplasmic vesicle, clathrin-coated vesicle {ECO:0000269|PubMed:12475894}. Cell projection, axon {ECO:0000250|UniProtKB:O35598}. Cell projection, dendrite {ECO:0000250|UniProtKB:O35598}. Cell junction, adherens junction {ECO:0000269|PubMed:30463011}. Cytoplasm {ECO:0000269|PubMed:30463011}. Note=Is localized in the plasma membrane but is also expressed in the Golgi apparatus and in clathrin-coated vesicles derived likely from the Golgi (PubMed:12475894). During long term depression, it is recruited to the cell membrane by DLG1 (PubMed:23676497). The immature form is mainly located near cytoplasmic fibrillar structures, while the mature form is predominantly located at zonula adherens and the cell membrane (PubMed:30463011). The localization and clustering of mature ADAM10 to zonula adherens is regulated by AFDN, TSPAN33, PLEKHA7 and PDZD11 (PubMed:30463011). {ECO:0000269|PubMed:12475894, ECO:0000269|PubMed:23676497, ECO:0000269|PubMed:30463011}."	NA	"TOPO_DOM 20..672; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 694..748; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 673..693; /note=Helical; /evidence=ECO:0000255"
"37"	"Q13444"	"SUBCELLULAR LOCATION: Endomembrane system {ECO:0000269|PubMed:12243749}; Single-pass type I membrane protein {ECO:0000269|PubMed:12243749}. Cell junction, adherens junction {ECO:0000269|PubMed:12243749}. Cell projection, cilium, flagellum {ECO:0000250}. Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000250}. Note=The majority of the protein is localized in a perinuclear compartment which may correspond to the trans-Golgi network or the late endosome. The pro-protein is the major detectable form on the cell surface, whereas the majority of the protein in the cell is processed (By similarity). {ECO:0000250}."	NA	"TOPO_DOM 207..696; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 718..863; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 697..717; /note=Helical; /evidence=ECO:0000255"
"38"	"Q9H013"	"SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein."	NA	"TOPO_DOM 203..699; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 721..955; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 700..720; /note=Helical; /evidence=ECO:0000255"
"39"	"Q8TC27"	"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}."	NA	"TOPO_DOM 175..682; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 704..787; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 683..703; /note=Helical; /evidence=ECO:0000255"
"40"	"Q13443"	"SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:8647900}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:12054541}."	NA	"TOPO_DOM 29..697; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 719..819; /note=Cytoplasmic; /evidence=ECO:0000255"	"TRANSMEM 698..718; /note=Helical; /evidence=ECO:0000255"
