Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ABCA7	ABCX	ENSG00000064687	"ATP binding cassette subfamily A member 7"	Q8IZY2	19	1039997-1065572	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Phagocytosis, Transport"	Translocase	"Alzheimer disease, Amyloidosis, Neurodegeneration"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 27.4;pituitary gland: 28.7"	"Group enriched"	"Detected in many"	4	"Alveolar cells type 1: 129.8;Bipolar cells: 114.1;Cone photoreceptor cells: 117.2;Extravillous trophoblasts: 369.2;Rod photoreceptor cells: 243.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in some"			HPA041564	Enhanced		Supported	"Golgi apparatus,Plasma membrane,Cell Junctions"		NA	NA			"Cluster 52: Eosinophils - Transcription"	"Cluster 20: Retina & Lymphoid tissues - Unknown function"	"Cluster 4: Non-specific - Transcription"	"Cluster 54: Extravillous trophoblasts - Unknown function"	"Golgi apparatus, Plasma membrane"	"Cell Junctions"	"HPA041564: AB_2677550"	"unprognostic (1.52e-1)"	"unprognostic (1.12e-1)"	"prognostic unfavorable (7.26e-4)"	"prognostic favorable (1.12e-4)"	"unprognostic (8.88e-2)"	"unprognostic (1.13e-2)"	"unprognostic (2.25e-1)"	"unprognostic (4.00e-2)"	"unprognostic (1.04e-1)"	"unprognostic (2.24e-2)"	"unprognostic (1.51e-3)"	"unprognostic (3.68e-2)"	"unprognostic (8.99e-3)"	"unprognostic (2.08e-2)"	"unprognostic (3.66e-1)"	"unprognostic (7.88e-2)"	"unprognostic (7.85e-2)"
ABCC1	"GS-X, MRP, MRP1"	ENSG00000103222	"ATP binding cassette subfamily C member 1"	P33527	16	15949138-16143257	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	"Hydrolase, Translocase"	"Cancer-related genes, Deafness, FDA approved drug targets, Non-syndromic deafness"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Breast - Fibroblasts, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA002380, HPA076011"	Uncertain		Supported	"Plasma membrane,Cell Junctions"		NA	NA				"Cluster 72: Non-specific - Transcription"	"Cluster 61: Liver - Metabolism"	"Cluster 1: T-cells - Immune response"	"Plasma membrane"	"Cell Junctions"	"HPA002380: AB_1844432, HPA076011: "	"unprognostic (9.97e-2)"	"unprognostic (2.06e-1)"	"unprognostic (2.05e-2)"	"unprognostic (2.94e-1)"	"unprognostic (4.89e-2)"	"unprognostic (1.15e-1)"	"prognostic unfavorable (5.42e-5)"	"unprognostic (3.42e-1)"	"unprognostic (3.31e-1)"	"unprognostic (4.07e-2)"	"unprognostic (9.78e-3)"	"unprognostic (7.19e-2)"	"prognostic unfavorable (1.55e-6)"	"unprognostic (1.84e-1)"	"unprognostic (1.15e-1)"	"unprognostic (1.43e-2)"	"unprognostic (1.80e-2)"
ABCC5	"EST277145, MOAT-C, MRP5, SMRP"	ENSG00000114770	"ATP binding cassette subfamily C member 5"	O15440	3	183919934-184017939	"Cancer-related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport	Translocase	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"choroid plexus: 167.1"	"Cell type enhanced"	"Detected in all"		"Cone photoreceptor cells: 127.5;Excitatory neurons: 99.9;Inhibitory neurons: 120.2;Rod photoreceptor cells: 124.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Stomach - Gastric mucous cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA044067, HPA052295"	Uncertain		Approved	"Nucleoplasm,Plasma membrane,Cell Junctions"		NA	NA			"Cluster 46: Basophils - DNA binding"	"Cluster 54: Non-specific - Microtubule organization"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 37: Neurons - Neuronal signaling"	"Plasma membrane, Cell Junctions"	Nucleoplasm	"HPA044067: AB_2678797, HPA052295: AB_2681789"	"unprognostic (9.39e-2)"	"unprognostic (6.23e-3)"	"unprognostic (3.83e-2)"	"unprognostic (1.10e-3)"	"unprognostic (2.28e-2)"	"unprognostic (2.07e-1)"	"prognostic unfavorable (6.78e-8)"	"unprognostic (4.46e-2)"	"unprognostic (6.07e-3)"	"unprognostic (1.02e-1)"	"unprognostic (5.91e-3)"	"prognostic unfavorable (3.40e-4)"	"unprognostic (1.10e-1)"	"unprognostic (9.05e-3)"	"unprognostic (1.64e-1)"	"unprognostic (3.33e-2)"	"unprognostic (1.24e-2)"
ABI1	"ABI-1, E3B1, SSH3BP1"	ENSG00000136754	"Abl interactor 1"	Q8IZP0	10	26746593-26861087	"Cancer-related genes, Disease related genes, Predicted intracellular proteins"	"Host-virus interaction"		"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Astrocytes: 269.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB008375, HPA068407"	Approved		Approved	"Plasma membrane,Cell Junctions"		NA	NA		440000	"Cluster 5: Granulocytes - Unknown function"	"Cluster 53: Non-specific - Cell cycle regulation"	"Cluster 67: Non-specific - Mitochondria & RNA binding"	"Cluster 32: Neurons - Synaptic function"	"Plasma membrane, Cell Junctions"		"CAB008375: AB_592744, HPA068407: AB_2685983"	"unprognostic (2.83e-3)"	"unprognostic (8.69e-2)"	"unprognostic (1.12e-1)"	"unprognostic (3.96e-1)"	"unprognostic (2.51e-2)"	"unprognostic (9.24e-3)"	"unprognostic (1.88e-3)"	"unprognostic (2.03e-1)"	"unprognostic (6.04e-2)"	"unprognostic (4.38e-1)"	"unprognostic (2.40e-2)"	"unprognostic (5.48e-2)"	"unprognostic (1.98e-1)"	"unprognostic (1.07e-1)"	"unprognostic (1.79e-1)"	"unprognostic (1.37e-1)"	"unprognostic (1.18e-1)"
ABLIM3	KIAA0843	ENSG00000173210	"Actin binding LIM protein family member 3"	O94929	5	149141483-149260542	"Plasma proteins, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 115.8"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 180.4;Cardiomyocytes: 69.9;Hepatocytes: 95.2;Oligodendrocyte precursor cells: 61.1"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Kidney cancer: 38.2"	"Adipose visceral - Endothelial cells, Kidney - Proximal tubular cells, Prostate - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA003245	Approved		Approved	"Nucleoplasm,Plasma membrane,Cell Junctions"		NA	NA		30000	"Cluster 9: Neutrophils - Innate immune response"	"Cluster 39: Non-specific - Mitochondria"	"Cluster 68: Kidney - Mixed function"	"Cluster 66: Endothelial cells - Angiogenesis"	"Nucleoplasm, Plasma membrane"	"Cell Junctions"	"HPA003245: AB_1078083"	"unprognostic (1.07e-1)"	"unprognostic (1.31e-1)"	"unprognostic (9.87e-2)"	"unprognostic (1.75e-1)"	"unprognostic (8.74e-2)"	"unprognostic (4.19e-2)"	"unprognostic (9.48e-3)"	"unprognostic (4.37e-3)"	"unprognostic (1.05e-1)"	"unprognostic (1.09e-2)"	"unprognostic (4.17e-3)"	"unprognostic (2.42e-1)"	"prognostic unfavorable (1.28e-4)"	"unprognostic (3.12e-2)"	"unprognostic (8.10e-2)"	"unprognostic (2.45e-3)"	"unprognostic (1.20e-1)"
AC004922.1		ENSG00000284292	"Novel protein, ARPC1A and ARPC1B readthrough"		7	99325879-99394653	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"			"Low tissue specificity"	"Detected in many"			"Group enriched"	"Detected in some"	4	"Basal squamous epithelial cells: 2.0;Gastric mucus-secreting cells: 3.6;Plasma cells: 2.4;Schwann cells: 4.2;Squamous epithelial cells: 3.4"					"Not detected"	"Not detected"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA004334	Uncertain		Approved	"Cell Junctions,Cytosol"		NA	NA			"Cluster 31: Non-specific - Inflammatory response"	"Cluster 64: Macrophages - Immune response"	"Cluster 31: Non-specific - Transcription"	"Cluster 61: Non-specific - Transcription"	"Cell Junctions"	Cytosol	"HPA004334: AB_1078215"																	
ACOT13	"HT012, THEM2"	ENSG00000112304	"Acyl-CoA thioesterase 13"	Q9NPJ3	6	24667035-24705065	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Lipid metabolism"	Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 30.6"	"Cell type enhanced"	"Detected in all"		"Early spermatids: 754.0;Hepatocytes: 295.9;Late spermatids: 302.8;Proximal tubular cells: 492.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Testis - Early spermatids, Testis - Late spermatids, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA019881, HPA057134"	Enhanced		Approved	"Cell Junctions"		NA	NA			"Cluster 8: Neutrophils - Inflammatory response"	"Cluster 39: Non-specific - Mitochondria"	"Cluster 61: Liver - Metabolism"	"Cluster 49: Early spermatids - Spermatogenesis"	"Cell Junctions"		"HPA019881: AB_1857978, HPA057134: "	"unprognostic (3.61e-1)"	"unprognostic (1.62e-1)"	"unprognostic (6.02e-2)"	"unprognostic (1.80e-2)"	"unprognostic (9.57e-2)"	"unprognostic (1.21e-1)"	"unprognostic (1.19e-1)"	"unprognostic (1.19e-1)"	"unprognostic (1.71e-1)"	"prognostic favorable (2.53e-6)"	"unprognostic (3.67e-2)"	"unprognostic (1.64e-2)"	"unprognostic (7.16e-2)"	"unprognostic (5.97e-2)"	"unprognostic (4.86e-2)"	"unprognostic (1.50e-1)"	"unprognostic (2.13e-2)"
ADAM22	MDC2	ENSG00000008277	"ADAM metallopeptidase domain 22"	Q9P0K1	7	87934143-88202889	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion"	Receptor	"Disease variant, Epilepsy"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	7	"brain: 77.2"	"Group enriched"	"Detected in many"	4	"Excitatory neurons: 282.6;Inhibitory neurons: 298.1;Oligodendrocyte precursor cells: 176.2;Oligodendrocytes: 118.6"	"Cancer enhanced"	"Detected in many"		"glioma: 4.0"	"Region enhanced"	"Detected in all"		"cerebellum: 77.2"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in all"		"Neuroblastoma: 31.7"	"Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA050325, CAB079064"		Supported	Approved	"Cell Junctions"	"Intracellular and membrane"	NA	NA		180000	"Cluster 38: Basophils - Unknown function"	"Cluster 69: Cerebellum - Gene expression regulation"	"Cluster 21: Neuroblastoma - Neuronal signaling"	"Cluster 32: Neurons - Synaptic function"	"Cell Junctions"		"CAB079064: , HPA050325: AB_2681087"	"unprognostic (1.20e-2)"	"unprognostic (8.61e-2)"	"unprognostic (3.38e-1)"	"unprognostic (1.94e-2)"	"unprognostic (2.89e-2)"	"unprognostic (3.09e-1)"	"unprognostic (7.84e-3)"	"unprognostic (1.38e-1)"	"unprognostic (1.23e-1)"	"unprognostic (1.56e-1)"	"unprognostic (3.71e-3)"	"unprognostic (1.69e-1)"	"unprognostic (3.47e-2)"	"unprognostic (4.13e-2)"	"unprognostic (2.77e-1)"	"unprognostic (1.61e-4)"	"unprognostic (4.70e-2)"
AFDN	"AF-6, AF6, MLLT4"	ENSG00000130396	"Afadin, adherens junction formation factor"	P55196	6	167826922-167972023	"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Cell adhesion"		"Cancer-related genes, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"memory B-cell: 1.1"	"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in all"			"Heart muscle - Endothelial cells, Lung - Alveolar cells type 1, Skeletal muscle - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB013496, HPA030212, HPA030213, HPA030214, HPA030215, HPA049868"	Approved		Enhanced	"Nucleoplasm,Plasma membrane,Cell Junctions"		NA	NA			"Cluster 37: B-cells - Transcription"	"Cluster 37: Intestine - Unknown function"	"Cluster 35: Liver cancer - Metabolism"	"Cluster 14: Endometrium - Transcription regulation"	"Plasma membrane, Cell Junctions"	Nucleoplasm	"CAB013496: , HPA030212: AB_10599291, HPA030213: AB_10601340, HPA030214: AB_10601005, HPA030215: AB_10601556, HPA049868: AB_2680924"	"prognostic unfavorable (7.43e-5)"	"unprognostic (2.66e-3)"	"unprognostic (2.07e-2)"	"unprognostic (2.61e-1)"	"unprognostic (1.13e-1)"	"unprognostic (9.06e-2)"	"unprognostic (4.12e-1)"	"unprognostic (3.12e-2)"	"unprognostic (4.12e-1)"	"unprognostic (1.09e-3)"	"unprognostic (1.75e-1)"	"unprognostic (1.73e-2)"	"unprognostic (5.56e-2)"	"unprognostic (5.43e-3)"	"unprognostic (1.59e-1)"	"unprognostic (4.72e-2)"	"unprognostic (5.68e-2)"
AGER	"RAGE, SCARJ1"	ENSG00000204305	"Advanced glycosylation end-product specific receptor"	Q15109	6	32180968-32184322	"Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"	"Inflammatory response"		"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	19	"lung: 728.3"	"Cell type enriched"	"Detected in many"	21	"Alveolar cells type 1: 2508.4"	"Cancer enhanced"	"Detected in all"		"lung cancer: 27.2;thyroid cancer: 20.9"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Kidney cancer: 2.3"	"Lung - Alveolar cells type 1"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in many"			"CAB011682, HPA064436, HPA069474"	Enhanced		Approved	"Nucleoli fibrillar center,Plasma membrane,Cell Junctions"	"Secreted in other tissues"	NA	NA	5360000	100000		"Cluster 19: Lung - Lung function"	"Cluster 14: Bone cancer - Transcription"	"Cluster 41: Alveolar cells - Lung function"	"Plasma membrane, Cell Junctions"	"Nucleoli fibrillar center"	"CAB011682: AB_2258049, HPA064436: AB_2685264, HPA069474: "	"unprognostic (9.37e-2)"	"unprognostic (3.70e-1)"	"unprognostic (2.37e-2)"	"unprognostic (1.14e-1)"	"unprognostic (4.55e-2)"	"unprognostic (1.59e-3)"	"unprognostic (4.36e-2)"	"unprognostic (1.00e-1)"	"unprognostic (4.38e-2)"	"unprognostic (1.27e-1)"	"prognostic favorable (3.41e-4)"	"unprognostic (1.24e-1)"	"prognostic unfavorable (9.01e-7)"	"unprognostic (3.57e-1)"	"unprognostic (3.70e-2)"	"unprognostic (4.44e-2)"	"prognostic favorable (2.74e-6)"
