"","Subcellular.location..CC.","Intramembrane","Topological.domain","Transmembrane"
"Q9NP58","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17661442, ECO:0000269|PubMed:22246506, ECO:0000269|PubMed:22655043, ECO:0000269|PubMed:23180570, ECO:0000269|PubMed:27507172}; Multi-pass membrane protein {ECO:0000255}. Mitochondrion outer membrane {ECO:0000269|PubMed:17006453, ECO:0000269|PubMed:17661442}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:18279659, ECO:0000269|PubMed:21199866, ECO:0000269|PubMed:22226084}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000269|PubMed:18279659, ECO:0000269|PubMed:21199866, ECO:0000269|PubMed:22226084}; Multi-pass membrane protein {ECO:0000255}. Endosome membrane {ECO:0000269|PubMed:25627919}; Multi-pass membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000269|PubMed:22655043, ECO:0000269|PubMed:25627919, ECO:0000269|PubMed:29940187, ECO:0000269|PubMed:31053883}. Late endosome membrane {ECO:0000250|UniProtKB:O70595}. Early endosome membrane {ECO:0000250|UniProtKB:O70595}. Secreted, extracellular exosome {ECO:0000269|PubMed:22655043}. Mitochondrion {ECO:0000269|PubMed:10837493, ECO:0000269|PubMed:23792964}. Endosome, multivesicular body membrane {ECO:0000269|PubMed:25627919}. Melanosome membrane {ECO:0000269|PubMed:29940187}. Note=Present in the membrane of mature erythrocytes and in exosomes released from reticulocytes during the final steps of erythroid maturation (PubMed:22655043). Traffics from endoplasmic reticulum to Golgi during its glycans's maturation, therefrom is first targeted to the plasma membrane, and is rapidly internalized through endocytosis to be distributed to the limiting membrane of multivesicular bodies and lysosomes (PubMed:25627919, PubMed:21199866, PubMed:18279659). Localized on the limiting membrane of early melanosomes of pigment cells (PubMed:29940187). Targeted to the endolysosomal compartment (By similarity). {ECO:0000250|UniProtKB:O70595, ECO:0000269|PubMed:18279659, ECO:0000269|PubMed:21199866, ECO:0000269|PubMed:22655043, ECO:0000269|PubMed:25627919, ECO:0000269|PubMed:29940187}.",NA,"TOPO_DOM 1..26; /note=Lumenal; /evidence=ECO:0000305|PubMed:18279659, ECO:0000305|PubMed:21199866; TOPO_DOM 48..72; /note=Cytoplasmic; /evidence=ECO:0000305; TOPO_DOM 94..106; /note=Lumenal; /evidence=ECO:0000305|PubMed:18279659, ECO:0000305|PubMed:21199866; TOPO_DOM 128..147; /note=Cytoplasmic; /evidence=ECO:0000305; TOPO_DOM 169..185; /note=Lumenal; /evidence=ECO:0000305|PubMed:18279659, ECO:0000305|PubMed:21199866; TOPO_DOM 207..263; /note=Cytoplasmic; /evidence=ECO:0000305; TOPO_DOM 285..291; /note=Lumenal; /evidence=ECO:0000305|PubMed:18279659, ECO:0000305|PubMed:21199866; TOPO_DOM 313..375; /note=Cytoplasmic; /evidence=ECO:0000305; TOPO_DOM 397; /note=Lumenal; /evidence=ECO:0000305|PubMed:18279659, ECO:0000305|PubMed:21199866; TOPO_DOM 419..499; /note=Cytoplasmic; /evidence=ECO:0000305; TOPO_DOM 521..529; /note=Lumenal; /evidence=ECO:0000305|PubMed:18279659, ECO:0000305|PubMed:21199866; TOPO_DOM 551..842; /note=Cytoplasmic; /evidence=ECO:0000305","TRANSMEM 27..47; /note=Helical; /evidence=ECO:0000255; TRANSMEM 73..93; /note=Helical; /evidence=ECO:0000255; TRANSMEM 107..127; /note=Helical; /evidence=ECO:0000255; TRANSMEM 148..168; /note=Helical; /evidence=ECO:0000255; TRANSMEM 186..206; /note=Helical; /evidence=ECO:0000255; TRANSMEM 264..284; /note=Helical; /evidence=ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 292..312; /note=Helical; /evidence=ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 376..396; /note=Helical; /evidence=ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 398..418; /note=Helical; /evidence=ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 500..520; /note=Helical; /evidence=ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 530..550; /note=Helical; /evidence=ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441"
"O15440","SUBCELLULAR LOCATION: Basolateral cell membrane {ECO:0000269|PubMed:24836561}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus lumen {ECO:0000269|PubMed:24836561}. Endosome membrane {ECO:0000269|PubMed:24836561}. Cytoplasmic granule {ECO:0000250|UniProtKB:Q9R1X5}. Apical cell membrane {ECO:0000269|PubMed:15501592}; Multi-pass membrane protein {ECO:0000255}. Note=In most cells, routes to the basolateral plasma membrane, but in the brain capillary endothelial cells that form the blood-brain barrier, resides in the apical membrane. {ECO:0000269|PubMed:15501592, ECO:0000269|PubMed:24836561}.",NA,NA,"TRANSMEM 179..199; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 219..239; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 296..316; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 317..337; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 400..420; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 434..454; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 608..628; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 848..868; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 917..937; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 997..1017; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 1018..1038; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 1104..1124; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 1127..1147; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441"
"Q8WU67","SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.",NA,NA,"TRANSMEM 26..46; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"Q8IZP0","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Cell projection, lamellipodium {ECO:0000250}. Cell projection, filopodium {ECO:0000250}. Cell projection, growth cone {ECO:0000250}. Postsynaptic density {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Note=Localized to protruding lamellipodia and filopodia tips. Also localized to neuronal growth cones and synaptosomes. May shuttle from the postsynaptic densities to the nucleus (By similarity). {ECO:0000250}.",NA,NA,NA
"Q9NX38","SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000250|UniProtKB:Q80ZQ9}. Cell projection, lamellipodium {ECO:0000250|UniProtKB:Q80ZQ9}. Nucleus {ECO:0000250|UniProtKB:Q80ZQ9}. Cell projection, growth cone {ECO:0000250|UniProtKB:Q80ZQ9}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q80ZQ9}. Note=Localizes to somata and dendrites in cortical neurons (By similarity). Colocalizes with G- and F-actin in lamellipodia (By similarity). Colocalizes in the nucleus with PTK2 (By similarity). {ECO:0000250|UniProtKB:Q80ZQ9}.",NA,NA,NA
"Q9UKV3","SUBCELLULAR LOCATION: Nucleus. Nucleus speckle. Nucleus, nucleoplasm. Note=Phosphorylation on Ser-1180 by SRPK2 redistributes it from the nuclear speckles to the nucleoplasm.",NA,NA,NA
"P25106","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:31211835}; Multi-pass membrane protein {ECO:0000255}. Early endosome {ECO:0000269|PubMed:22457824}. Recycling endosome {ECO:0000269|PubMed:22457824}. Note=Predominantly localizes to endocytic vesicles, and upon stimulation by the ligand is internalized via clathrin-coated pits in a beta-arrestin-dependent manner. Once internalized, the ligand dissociates from the receptor, and is targeted to degradation while the receptor is recycled back to the cell membrane. {ECO:0000269|PubMed:22457824}.",NA,"TOPO_DOM 1..40; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 62..81; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 103..118; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 140..162; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 184..213; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 235..252; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 274..296; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 320..362; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 41..61; /note=Helical; Name=1; /evidence=ECO:0000255; TRANSMEM 82..102; /note=Helical; Name=2; /evidence=ECO:0000255; TRANSMEM 119..139; /note=Helical; Name=3; /evidence=ECO:0000255; TRANSMEM 163..183; /note=Helical; Name=4; /evidence=ECO:0000255; TRANSMEM 214..234; /note=Helical; Name=5; /evidence=ECO:0000255; TRANSMEM 253..273; /note=Helical; Name=6; /evidence=ECO:0000255; TRANSMEM 297..319; /note=Helical; Name=7; /evidence=ECO:0000255"
"Q9NPJ3","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9CQR4}. Mitochondrion {ECO:0000250|UniProtKB:Q9CQR4}. Nucleus {ECO:0000250|UniProtKB:Q9CQR4}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q9CQR4}. Note=During interphase, found both in the nucleus and in the cytoplasm. At mitosis, localizes to the spindle. Colocalizes with tubulin. {ECO:0000250|UniProtKB:Q9CQR4}.",NA,NA,NA
"Q9Y305","SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}.",NA,NA,NA
"P12814","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:24069336, ECO:0000269|PubMed:7750553}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:7750553}. Cell membrane {ECO:0000250|UniProtKB:Q9Z1P2}. Cell junction {ECO:0000250|UniProtKB:Q9Z1P2}. Cell projection, ruffle {ECO:0000250|UniProtKB:Q7TPR4}. Note=Colocalizes with MYOZ2 and PPP3CA at the Z-line of heart and skeletal muscle. Colocalizes with PSD in membrane ruffles and central reticular structures. {ECO:0000250|UniProtKB:Q7TPR4}.",NA,NA,NA
