"","Subcellular.location..CC.","Intramembrane","Topological.domain","Transmembrane"
"Q86V21","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9JMI1}.",NA,NA,NA
"Q8N5Z0","SUBCELLULAR LOCATION: Mitochondrion {ECO:0000305}.",NA,NA,NA
"Q2M2I8","SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:F1MH24}; Peripheral membrane protein {ECO:0000250|UniProtKB:F1MH24}. Membrane, clathrin-coated pit {ECO:0000269|PubMed:11877461}. Presynapse {ECO:0000250|UniProtKB:P0C1X8}. Note=Active when found in clathrin-coated pits at the plasma membrane. In neuronal cells, enriched at presynaptic terminals. In non-neuronal cells, enriched at leading edge of migrating cells. {ECO:0000250|UniProtKB:P0C1X8}.",NA,NA,NA
"Q9UDR5","SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:463877}.",NA,NA,NA
"O95477","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19258317, ECO:0000269|PubMed:19556522, ECO:0000269|PubMed:24097981, ECO:0000269|PubMed:35974019}; Multi-pass membrane protein {ECO:0000255}. Endosome {ECO:0000269|PubMed:24097981}.",NA,"TOPO_DOM 43..639; /note=Extracellular; TOPO_DOM 1372..1656; /note=Extracellular","TRANSMEM 22..42; /note=Helical; /evidence=ECO:0000255; TRANSMEM 640..660; /note=Helical; /evidence=ECO:0000255; TRANSMEM 683..703; /note=Helical; /evidence=ECO:0000255; TRANSMEM 716..736; /note=Helical; /evidence=ECO:0000255; TRANSMEM 745..765; /note=Helical; /evidence=ECO:0000255; TRANSMEM 777..797; /note=Helical; /evidence=ECO:0000255; TRANSMEM 827..847; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1041..1057; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1351..1371; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1657..1677; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1703..1723; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1735..1755; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1768..1788; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1802..1822; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1852..1872; /note=Helical; /evidence=ECO:0000255"
"Q86UK0","SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle membrane {ECO:0000269|PubMed:16007253, ECO:0000269|PubMed:17927575}; Multi-pass membrane protein {ECO:0000305}. Golgi apparatus membrane {ECO:0000269|PubMed:17927575}. Note=Localizes in the limiting membrane of the lamellar granules (LGs) (PubMed:17927575). Trafficks from the Golgi apparatus to the lamellar granules (LGs) at the cell periphery in the uppermost granular layer keratinocytes where ABCA12-positive LGs fuse with the keratinocyte-cell membrane to secrete their lipid content to the extracellular space of the stratum corneum (PubMed:16007253, PubMed:17927575). Co-localizes through the Golgi apparatus to the cell periphery with glucosylceramide (PubMed:17927575). {ECO:0000269|PubMed:16007253, ECO:0000269|PubMed:17927575}.",NA,NA,"TRANSMEM 23..43; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1065..1085; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1112..1132; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1145..1165; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1174..1194; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1200..1220; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1250..1270; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1747..1767; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1979..1999; /note=Helical; /evidence=ECO:0000255; TRANSMEM 2035..2055; /note=Helical; /evidence=ECO:0000255; TRANSMEM 2072..2092; /note=Helical; /evidence=ECO:0000255; TRANSMEM 2103..2123; /note=Helical; /evidence=ECO:0000255; TRANSMEM 2187..2207; /note=Helical; /evidence=ECO:0000255; TRANSMEM 2270..2290; /note=Helical; /evidence=ECO:0000255"
"Q9BZC7","SUBCELLULAR LOCATION: Endosome membrane {ECO:0000269|PubMed:11309290, ECO:0000269|PubMed:15093135}; Multi-pass membrane protein {ECO:0000269|PubMed:11309290}. Lysosome membrane {ECO:0000269|PubMed:11309290, ECO:0000269|PubMed:15093135}; Multi-pass membrane protein {ECO:0000269|PubMed:11309290}. Note=Forms discrete, punctate intracellular vesicles. {ECO:0000269|PubMed:11309290}.",NA,NA,"TRANSMEM 22..42; /note=Helical; /evidence=ECO:0000255; TRANSMEM 54..74; /note=Helical; /evidence=ECO:0000255; TRANSMEM 699..719; /note=Helical; /evidence=ECO:0000255; TRANSMEM 750..770; /note=Helical; /evidence=ECO:0000255; TRANSMEM 782..802; /note=Helical; /evidence=ECO:0000255; TRANSMEM 813..833; /note=Helical; /evidence=ECO:0000255; TRANSMEM 857..877; /note=Helical; /evidence=ECO:0000255; TRANSMEM 893..913; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1456..1476; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1792..1812; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1841..1861; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1872..1892; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1905..1925; /note=Helical; /evidence=ECO:0000255; TRANSMEM 1991..2011; /note=Helical; /evidence=ECO:0000255"
"Q9NP78","SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000269|PubMed:10748049, ECO:0000269|PubMed:15577206, ECO:0000269|PubMed:17897319, ECO:0000269|PubMed:17977821, ECO:0000269|PubMed:18175933, ECO:0000269|PubMed:18952056, ECO:0000269|PubMed:20377823, ECO:0000269|PubMed:21212514, ECO:0000269|PubMed:22641697, ECO:0000269|PubMed:30877195}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441, ECO:0000269|PubMed:10748049, ECO:0000269|PubMed:15577206, ECO:0000269|PubMed:17897319, ECO:0000269|PubMed:17977821, ECO:0000269|PubMed:18175933, ECO:0000269|PubMed:18952056, ECO:0000269|PubMed:20377823, ECO:0000269|PubMed:21212514}. Note=May be located in membrane rafts. Takes an intracellular route from the endoplasmic reticulum (ER), via Golgi and early endosomes to late endosomal and lysosomal compartments (PubMed:30877195). {ECO:0000269|PubMed:30877195}.",NA,NA,"TRANSMEM 7..27; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 47..67; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 84..104; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 116..136; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 185..205; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 225..245; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 319..339; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441; TRANSMEM 416..436; /note=Helical; /evidence=ECO:0000255|PROSITE-ProRule:PRU00441"
"P45844","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:22042635}; Multi-pass membrane protein {ECO:0000269|PubMed:22042635}. Golgi apparatus membrane {ECO:0000269|PubMed:22042635}; Multi-pass membrane protein {ECO:0000269|PubMed:22042635}. Cell membrane {ECO:0000269|PubMed:16702602, ECO:0000269|PubMed:24576892}. Note=Predominantly localized in the intracellular compartments mainly associated with the endoplasmic reticulum (ER) and Golgi membranes.",NA,"TOPO_DOM 1..426; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 446..456; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 478..506; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 526..533; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 556..567; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 587..649; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 670..678; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 427..445; /note=Helical; /evidence=ECO:0000255; TRANSMEM 457..477; /note=Helical; /evidence=ECO:0000255; TRANSMEM 507..525; /note=Helical; /evidence=ECO:0000255; TRANSMEM 534..555; /note=Helical; /evidence=ECO:0000255; TRANSMEM 568..586; /note=Helical; /evidence=ECO:0000255; TRANSMEM 650..669; /note=Helical; /evidence=ECO:0000255"
"Q9H221","SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:16893193}; Multi-pass membrane protein {ECO:0000269|PubMed:27144356}. Apical cell membrane {ECO:0000269|PubMed:14504269}; Multi-pass membrane protein {ECO:0000269|PubMed:27144356}.",NA,"TOPO_DOM 1..416; /note=Cytoplasmic; /evidence=ECO:0000269|PubMed:27144356; TOPO_DOM 438..447; /note=Extracellular; /evidence=ECO:0000269|PubMed:27144356; TOPO_DOM 469..497; /note=Cytoplasmic; /evidence=ECO:0000269|PubMed:27144356; TOPO_DOM 519..527; /note=Extracellular; /evidence=ECO:0000269|PubMed:27144356; TOPO_DOM 549..555; /note=Cytoplasmic; /evidence=ECO:0000269|PubMed:27144356; TOPO_DOM 577..639; /note=Extracellular; /evidence=ECO:0000269|PubMed:27144356; TOPO_DOM 661..673; /note=Cytoplasmic; /evidence=ECO:0000269|PubMed:27144356","TRANSMEM 417..437; /note=Helical; Name=1; /evidence=ECO:0000269|PubMed:27144356; TRANSMEM 448..468; /note=Helical; Name=2; /evidence=ECO:0000269|PubMed:27144356; TRANSMEM 498..518; /note=Helical; Name=3; /evidence=ECO:0000269|PubMed:27144356; TRANSMEM 528..548; /note=Helical; Name=4; /evidence=ECO:0000269|PubMed:27144356; TRANSMEM 556..576; /note=Helical; Name=5; /evidence=ECO:0000269|PubMed:27144356; TRANSMEM 640..660; /note=Helical; Name=6; /evidence=ECO:0000269|PubMed:27144356"
